Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Will Barton,2021-22,31,DEN,NBA,SG,71,71,2277,13.4,.548,.480,.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,1.2,1.9,3.2,.067,0.4,-0.9,-0.5,0.9,
Bol Bol,2021-22,22,DEN,NBA,PF,14,0,81,13.5,.565,.148,.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,0.0,0.1,0.1,.065,-0.5,-0.4,-1.0,0.0,
Facundo Campazzo,2021-22,30,DEN,NBA,PG,65,4,1184,11.1,.503,.652,.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,0.6,1.3,2.0,.081,-2.1,1.3,-0.8,0.4,
Vlatko ÄanÄar,2021-22,24,DEN,NBA,PF,15,1,176,12.7,.657,.293,.341,5.2,14.1,9.8,13.2,0.6,1.5,16.0,14.0,0.3,0.1,0.4,.114,-0.9,-0.9,-1.7,0.0,
Petr Cornelie,2021-22,26,DEN,NBA,PF,13,0,38,9.6,.418,.533,.267,21.3,19.9,20.6,10.8,1.3,2.4,19.3,24.0,-0.1,0.0,0.0,-0.015,-6.1,-2.7,-8.8,-0.1,
DeMarcus Cousins,2021-22,31,DEN,NBA,C,31,2,431,17.6,.565,.359,.422,13.4,30.6,22.3,19.1,2.2,2.7,22.0,31.9,-0.2,0.8,0.6,.065,-2.8,-0.2,-3.1,-0.1,
PJ Dozier,2021-22,25,DEN,NBA,SG,18,0,340,8.7,.463,.485,.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,-0.1,0.4,0.3,.038,-3.0,1.0,-2.0,0.0,
James Ennis III,2021-22,31,DEN,NBA,SF,3,0,14,3.7,.311,.333,.167,8.2,7.7,8.0,29.8,0.0,0.0,13.4,23.3,0.0,0.0,0.0,-0.134,-7.2,-4.0,-11.1,0.0,
Bryn Forbes,2021-22,28,DEN,NBA,SG,35,1,610,10.6,.578,.593,.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,0.5,0.2,0.7,.054,-1.1,-3.2,-4.3,-0.4,
Aaron Gordon,2021-22,26,DEN,NBA,PF,75,75,2376,15.3,.602,.312,.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,.105,0.5,-1.1,-0.6,0.9,
JaMychal Green,2021-22,31,DEN,NBA,PF,67,8,1085,14.1,.587,.379,.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,1.2,1.4,2.7,.118,-2.0,0.1,-1.8,0.0,
Jeff Green,2021-22,35,DEN,NBA,PF,75,63,1849,12.5,.627,.318,.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,.101,-1.2,-1.3,-2.5,-0.2,
Markus Howard,2021-22,22,DEN,NBA,SG,31,0,176,16.1,.567,.693,.228,1.3,6.1,3.8,6.2,2.5,0.0,5.9,29.4,0.1,0.2,0.3,.082,0.8,-2.0,-1.2,0.0,
Bones Hyland,2021-22,21,DEN,NBA,SG,69,4,1310,14.4,.558,.627,.219,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,.088,0.3,-0.7,-0.4,0.5,
Nikola JokiÄ,2021-22,26,DEN,NBA,C,74,74,2476,32.8,.661,.220,.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,.296,9.2,4.5,13.7,9.8,"MVP-1,AS,NBA1"
Carlik Jones,2021-22,24,DEN,NBA,PG,2,0,4,8.9,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,-0.030,-3.0,-3.7,-6.7,0.0,
Monte Morris,2021-22,26,DEN,NBA,PG,75,74,2239,14.7,.583,.406,.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,.116,0.8,-0.8,0.0,1.1,
Zeke Nnaji,2021-22,21,DEN,NBA,PF,41,1,698,13.5,.629,.430,.349,9.3,14.1,11.8,3.4,1.1,1.7,9.7,14.9,1.2,0.6,1.8,.123,-0.7,-1.6,-2.2,0.0,
Michael Porter Jr.,2021-22,23,DEN,NBA,SF,9,9,265,7.5,.416,.466,.087,3.9,20.4,12.4,8.9,1.9,0.7,10.1,19.7,-0.5,0.3,-0.2,-0.032,-3.9,0.5,-3.5,-0.1,
Davon Reed,2021-22,26,DEN,NBA,SG,48,5,668,12.2,.624,.534,.093,2.4,15.2,9.0,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,.117,-0.6,0.3,-0.3,0.3,
Austin Rivers,2021-22,29,DEN,NBA,SG,67,18,1480,7.2,.546,.660,.126,1.5,6.9,4.3,8.0,1.7,0.4,12.8,12.6,0.1,1.1,1.2,.037,-3.5,-0.3,-3.8,-0.7,
Rayjon Tucker,2021-22,24,DEN,NBA,SG,3,0,29,13.6,.798,1.000,2.000,4.0,11.2,7.7,16.7,1.7,0.0,0.0,5.7,0.1,0.0,0.1,.213,0.6,1.3,1.9,0.0,
