Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Trevor Ariza,2007-08,22,LAL,NBA,SF,24,3,431,17.1,.594,.143,.571,6.7,14.6,10.8,12.0,3.0,1.3,12.0,15.3,0.9,0.7,1.6,.176,1.0,2.1,3.1,0.6,
Kwame Brown,2007-08,25,LAL,NBA,C,23,14,509,9.7,.503,.000,.621,7.0,20.9,14.3,7.7,1.6,2.7,22.0,14.6,-0.3,0.8,0.5,.047,-3.3,1.4,-1.9,0.0,
Kobe Bryant,2007-08,29,LAL,NBA,SG,82,82,3192,24.2,.576,.246,.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,.208,5.2,0.6,5.8,6.3,"MVP-1,DPOY-5,AS,NBA1,DEF1"
Andrew Bynum,2007-08,20,LAL,NBA,C,35,25,1008,22.6,.659,.000,.397,12.1,26.6,19.6,9.6,0.6,5.1,13.0,17.5,3.0,1.8,4.8,.230,2.9,1.3,4.2,1.6,
Brian Cook,2007-08,27,LAL,NBA,PF,6,2,70,1.2,.308,.476,.190,6.6,9.1,7.9,5.6,1.4,0.0,14.9,16.9,-0.2,0.1,-0.1,-0.087,-5.6,-1.9,-7.5,-0.1,
Javaris Crittenton,2007-08,20,LAL,NBA,SG,22,0,171,11.0,.551,.057,.528,4.7,8.7,6.8,15.7,2.1,0.0,25.2,22.5,-0.1,0.2,0.0,.013,-3.2,-1.2,-4.3,-0.1,
Maurice Evans,2007-08,29,LAL,NBA,SG,7,0,96,13.3,.448,.250,.536,4.8,5.6,5.2,17.2,2.6,0.8,0.0,15.9,0.2,0.1,0.3,.140,-0.2,2.2,2.0,0.1,
Jordan Farmar,2007-08,21,LAL,NBA,PG,82,0,1690,15.4,.563,.487,.124,2.7,9.1,6.0,20.5,2.3,0.2,14.0,20.2,2.1,1.8,3.9,.111,1.3,0.0,1.3,1.4,6MOY-11
Derek Fisher,2007-08,33,LAL,NBA,PG,82,82,2249,13.8,.556,.355,.242,1.2,6.9,4.2,15.9,1.9,0.1,9.5,18.6,3.7,2.0,5.7,.121,-0.3,0.0,-0.4,0.9,
Pau Gasol,2007-08,27,LAL,NBA,C,27,27,918,24.0,.639,.003,.441,7.7,17.4,12.8,17.0,0.8,3.3,10.0,21.2,3.4,1.2,4.6,.239,4.7,0.8,5.5,1.7,
D.J. Mbenga,2007-08,27,LAL,NBA,C,26,0,196,11.2,.489,.000,.164,8.9,14.1,11.6,4.6,1.0,5.9,10.9,16.5,0.0,0.3,0.3,.078,-5.3,-0.1,-5.4,-0.2,
Coby Karl,2007-08,24,LAL,NBA,SG,17,0,71,15.8,.493,.500,.385,4.9,16.5,10.9,18.3,2.8,2.0,14.1,22.0,0.0,0.1,0.2,.106,-0.3,0.7,0.4,0.0,
Chris Mihm,2007-08,28,LAL,NBA,C,23,5,278,7.7,.384,.000,.284,11.7,18.8,15.4,6.6,0.7,3.6,13.7,19.6,-0.4,0.4,0.0,-0.004,-6.2,-1.8,-8.0,-0.4,
Ira Newble,2007-08,33,LAL,NBA,SF,6,0,31,10.0,.389,.222,.000,22.4,17.2,19.7,13.4,1.6,2.3,25.0,17.1,0.0,0.0,0.0,.037,-2.9,-1.5,-4.4,0.0,
Lamar Odom,2007-08,28,LAL,NBA,PF,77,77,2921,16.9,.582,.142,.413,7.8,22.7,15.6,13.8,1.3,1.8,14.2,16.5,5.3,4.3,9.7,.159,1.3,1.0,2.3,3.2,
Vladimir RadmanoviÄ,2007-08,27,LAL,NBA,SF,65,41,1483,12.6,.583,.535,.149,4.4,11.4,8.0,12.1,1.6,0.6,13.6,16.0,2.0,1.5,3.5,.113,0.4,-0.2,0.2,0.8,
Ronny Turiaf,2007-08,25,LAL,NBA,C,78,21,1458,15.0,.539,.003,.469,7.5,15.4,11.6,12.7,1.0,5.3,13.1,16.7,2.0,2.1,4.2,.137,-1.2,1.9,0.7,1.0,
Sasha VujaÄiÄ,2007-08,23,LAL,NBA,SG,72,0,1279,15.1,.605,.560,.189,1.7,11.3,6.7,8.7,1.4,0.3,9.1,19.8,2.4,1.2,3.6,.136,1.8,-0.7,1.2,1.0,
Luke Walton,2007-08,27,LAL,NBA,SF,74,31,1729,12.3,.509,.176,.228,5.7,12.7,9.3,18.1,1.7,0.8,16.0,16.0,1.2,2.0,3.2,.088,-0.8,0.5,-0.3,0.7,
