Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Bam Adebayo,2022-23,25,MIA,NBA,C,75,75,2598,20.1,.592,.011,.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,.137,0.8,0.8,1.5,2.3,"DPOY-5,AS,DEF2"
Jamaree Bouyea,2022-23,23,MIA,NBA,PG,4,0,65,7.8,.540,.385,.154,1.7,7.5,4.5,8.6,3.1,3.1,22.4,12.2,-0.1,0.1,0.0,.029,-4.9,1.9,-2.9,0.0,
Jimmy Butler,2022-23,33,MIA,NBA,PF,64,64,2138,27.6,.647,.116,.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,9.4,2.9,12.3,.277,6.7,2.0,8.7,5.8,"MVP-10,DPOY-12,CPOY-2,NBA2"
Jamal Cain,2022-23,23,MIA,NBA,PF,18,0,240,16.5,.647,.303,.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,0.5,0.3,0.8,.169,-0.5,1.3,0.8,0.2,
Dewayne Dedmon,2022-23,33,MIA,NBA,C,30,0,350,15.6,.576,.287,.341,9.1,28.1,18.2,7.3,1.0,4.1,11.4,21.2,0.3,0.5,0.8,.115,-2.4,0.6,-1.8,0.0,
Udonis Haslem,2022-23,42,MIA,NBA,C,7,1,71,6.2,.433,.310,.172,6.4,12.0,9.1,0.0,0.7,2.9,3.1,20.1,-0.1,0.1,0.0,-0.009,-8.2,-3.9,-12.1,-0.2,
Tyler Herro,2022-23,23,MIA,NBA,SG,67,67,2337,15.3,.566,.484,.164,1.3,17.3,9.0,19.9,1.1,0.7,11.7,25.6,1.1,2.4,3.5,.072,1.5,-0.8,0.6,1.6,
Haywood Highsmith,2022-23,26,MIA,NBA,PF,54,11,969,8.5,.517,.505,.130,6.7,16.4,11.4,6.2,1.9,1.8,16.5,12.5,-0.3,1.3,0.9,.046,-3.7,0.7,-3.1,-0.3,
Nikola JoviÄ,2022-23,19,MIA,NBA,PF,15,8,204,10.6,.530,.507,.275,5.0,13.1,8.9,7.3,1.7,1.0,11.4,19.0,0.0,0.2,0.2,.053,-3.4,0.0,-3.4,-0.1,
Kevin Love,2022-23,34,MIA,NBA,PF,21,17,419,12.3,.535,.727,.201,4.6,29.6,16.6,14.0,1.1,1.2,13.2,18.5,0.1,0.6,0.7,.075,-1.0,-0.1,-1.1,0.1,
Kyle Lowry,2022-23,36,MIA,NBA,PG,55,44,1718,12.6,.565,.639,.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,.096,-0.7,0.8,0.2,0.9,
Caleb Martin,2022-23,27,MIA,NBA,SF,71,49,2077,11.4,.571,.431,.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,.086,-1.8,0.5,-1.2,0.4,
Victor Oladipo,2022-23,30,MIA,NBA,SG,42,2,1106,10.6,.513,.526,.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,.024,-2.9,0.8,-2.1,0.0,
Duncan Robinson,2022-23,28,MIA,NBA,SF,42,1,691,7.8,.534,.810,.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,.035,-3.5,-1.5,-5.0,-0.5,
Orlando Robinson,2022-23,22,MIA,NBA,C,31,1,425,13.4,.565,.067,.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,.129,-2.7,0.7,-2.1,0.0,
Dru Smith,2022-23,25,MIA,NBA,SG,5,1,67,7.1,.393,.429,.000,1.7,14.5,7.9,10.1,3.0,4.6,6.7,9.9,0.0,0.1,0.1,.053,-6.3,3.1,-3.1,0.0,
Max Strus,2022-23,26,MIA,NBA,SF,80,33,2272,10.8,.557,.713,.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,.071,-0.8,-0.9,-1.7,0.2,
Gabe Vincent,2022-23,26,MIA,NBA,PG,68,34,1759,9.0,.533,.617,.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,.038,-3.1,-0.3,-3.4,-0.6,
Omer Yurtseven,2022-23,24,MIA,NBA,C,9,0,83,16.7,.675,.259,.222,10.9,21.9,16.2,3.9,1.2,2.5,11.9,18.0,0.2,0.1,0.3,.159,-2.5,-1.5,-3.9,0.0,
Cody Zeller,2022-23,30,MIA,NBA,C,15,2,217,16.4,.659,.034,.593,13.0,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,.147,-2.0,-0.7,-2.8,0.0,
