Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Ray Allen,1999-00,24,MIL,NBA,SG,82,82,3070,20.6,.570,.288,.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,9.0,1.0,10.1,.157,4.7,-1.1,3.6,4.3,AS
Rafer Alston,1999-00,23,MIL,NBA,PG,27,0,361,4.3,.310,.147,.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,-0.7,0.0,-0.7,-0.095,-5.0,-2.3,-7.3,-0.5,
Sam Cassell,1999-00,30,MIL,NBA,PG,81,81,2899,21.1,.551,.077,.380,2.8,9.3,6.1,41.1,1.8,0.2,16.4,25.0,8.4,0.8,9.2,.152,3.6,-1.4,2.2,3.1,
Vinny Del Negro,1999-00,33,MIL,NBA,PG,67,0,1211,11.7,.510,.074,.120,0.9,9.4,5.2,19.6,1.5,0.0,12.3,14.3,1.3,0.2,1.5,.061,-1.3,-0.8,-2.1,0.0,
Dale Ellis,1999-00,39,MIL,NBA,SG,18,0,324,12.1,.586,.644,.089,2.5,9.7,6.1,2.8,1.0,0.0,6.3,15.4,0.6,0.0,0.6,.087,1.3,-2.6,-1.3,0.1,
Darvin Ham,1999-00,26,MIL,NBA,SF,35,21,792,12.8,.545,.008,.609,12.6,12.8,12.7,7.5,1.9,2.8,15.2,10.7,1.2,0.5,1.7,.101,-0.5,0.5,0.0,0.4,
Ervin Johnson,1999-00,32,MIL,NBA,C,80,74,2129,12.7,.550,.004,.563,12.8,22.7,17.8,2.8,2.0,4.5,18.7,8.9,2.4,2.6,4.9,.111,-1.3,0.9,-0.4,0.9,
Danny Manning,1999-00,33,MIL,NBA,PF,72,0,1217,10.1,.460,.012,.153,4.8,15.1,10.0,8.9,2.6,1.8,13.2,15.2,-0.1,1.1,1.0,.039,-3.3,0.7,-2.6,-0.2,
J.R. Reid,1999-00,31,MIL,NBA,PF,34,7,602,9.0,.495,.055,.441,5.7,17.0,11.4,4.2,1.6,0.6,11.7,12.7,0.4,0.3,0.7,.059,-2.9,-0.7,-3.6,-0.2,
Glenn Robinson,1999-00,27,MIL,NBA,SF,81,81,2909,17.8,.534,.162,.194,4.3,15.1,9.7,11.8,1.4,1.1,12.3,27.6,3.5,1.3,4.8,.080,1.9,-1.9,0.1,1.5,AS
Tim Thomas,1999-00,22,MIL,NBA,SF,80,1,2093,14.7,.549,.242,.323,5.6,12.9,9.3,8.5,1.5,1.1,13.0,21.0,3.0,0.8,3.8,.088,0.5,-1.3,-0.8,0.6,
Robert Traylor,1999-00,22,MIL,NBA,PF,44,16,447,15.8,.517,.033,.557,13.1,16.9,15.0,6.7,2.9,4.2,15.1,17.8,0.5,0.5,1.0,.112,-1.8,0.3,-1.5,0.1,
Mirsad TÃ¼rkcan,1999-00,23,MIL,NBA,PF,10,0,65,13.9,.460,.143,.286,19.9,21.5,20.7,10.0,0.8,1.2,18.2,26.4,0.0,0.0,0.0,.012,-2.6,-3.0,-5.7,-0.1,
Scott Williams,1999-00,31,MIL,NBA,C,68,46,1488,15.6,.539,.000,.303,14.0,21.2,17.6,2.9,1.4,3.3,11.9,16.4,2.5,1.4,3.9,.124,-0.9,-1.1,-2.0,0.0,
Haywoode Workman,1999-00,34,MIL,NBA,PG,23,1,248,10.9,.487,.468,.210,0.5,7.5,4.0,25.1,2.3,0.0,17.1,14.7,0.2,0.1,0.3,.053,-1.1,-1.3,-2.4,0.0,
