Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2001-10-30,,SEA,W,101,95,,39,86,.453,4,20,.200,35,66,.530,.477,19,27,.704,12,34,46,26,9,5,13,19,37,86,.430,5,13,.385,32,73,.438,.459,16,21,.762,11,40,51,26,8,3,15,28
2,2,2001-11-03,@,DEN,W,106,94,,37,78,.474,5,13,.385,32,65,.492,.506,27,40,.675,12,32,44,22,7,5,12,22,33,89,.371,4,17,.235,29,72,.403,.393,24,29,.828,15,30,45,15,2,4,11,29
3,3,2001-11-04,,SAS,W,103,83,,42,89,.472,4,9,.444,38,80,.475,.494,15,20,.750,15,40,55,26,10,7,18,22,30,89,.337,3,11,.273,27,78,.346,.354,20,28,.714,16,30,46,14,12,6,15,20
4,4,2001-11-06,@,CLE,W,115,99,,45,93,.484,14,25,.560,31,68,.456,.559,11,16,.688,14,32,46,30,7,5,9,17,41,78,.526,1,7,.143,40,71,.563,.532,16,24,.667,7,31,38,28,3,12,14,16
5,5,2001-11-07,@,IND,L,104,116,,38,81,.469,6,14,.429,32,67,.478,.506,22,32,.688,16,33,49,22,6,3,21,20,46,88,.523,5,11,.455,41,77,.532,.551,19,20,.950,8,30,38,32,10,9,12,27
6,6,2001-11-09,@,ORL,L,105,115,,37,88,.420,3,13,.231,34,75,.453,.438,28,33,.848,13,38,51,19,6,4,19,28,40,99,.404,4,19,.211,36,80,.450,.424,31,39,.795,16,36,52,24,11,9,11,24
7,7,2001-11-10,@,MIA,W,90,75,,31,76,.408,5,11,.455,26,65,.400,.441,23,26,.885,11,32,43,16,8,4,16,14,34,78,.436,0,4,.000,34,74,.459,.436,7,13,.538,9,29,38,16,7,7,15,26
8,8,2001-11-13,,TOR,W,95,86,,39,84,.464,2,10,.200,37,74,.500,.476,15,19,.789,15,30,45,21,9,4,19,12,34,81,.420,4,11,.364,30,70,.429,.444,14,17,.824,11,25,36,20,13,4,17,16
9,9,2001-11-16,,CHI,W,105,71,,41,79,.519,5,12,.417,36,67,.537,.551,18,32,.563,10,32,42,24,16,4,13,18,31,72,.431,0,3,.000,31,69,.449,.431,9,18,.500,8,33,41,20,4,2,26,25
10,10,2001-11-18,@,LAL,L,85,93,,32,85,.376,1,19,.053,31,66,.470,.382,20,29,.690,12,35,47,21,8,6,12,22,36,90,.400,3,16,.188,33,74,.446,.417,18,24,.750,19,34,53,24,8,4,12,22
11,11,2001-11-19,,HOU,W,113,77,,48,92,.522,7,14,.500,41,78,.526,.560,10,13,.769,12,39,51,28,10,4,10,22,26,73,.356,3,17,.176,23,56,.411,.377,22,27,.815,7,29,36,15,4,0,16,12
12,12,2001-11-21,,POR,W,95,83,,39,87,.448,4,12,.333,35,75,.467,.471,13,20,.650,16,33,49,21,7,2,14,12,35,75,.467,3,10,.300,32,65,.492,.487,10,14,.714,9,32,41,20,7,4,18,19
13,13,2001-11-24,,NJN,W,98,97,,36,87,.414,2,16,.125,34,71,.479,.425,24,37,.649,7,38,45,20,10,2,9,14,41,92,.446,5,11,.455,36,81,.444,.473,10,16,.625,8,42,50,25,6,4,15,26
