year,team,Off Rtg_value,Off Rtg_rank,Off Rtg_of,Def Rtg_value,Def Rtg_rank,Def Rtg_of,SRS_value,SRS_rank,SRS_of,Pace_value,Pace_rank,Pace_of
2000,SAC,105.0,11,29,102.1,10,29,3.04,7,29,99.3,1,29
2001,SAC,105.6,9,29,99.6,7,29,6.07,2,29,94.4,2,29
2002,SAC,109.0,3,29,101.1,6,29,7.61,1,29,95.6,1,29
2003,SAC,105.9,6,29,99.1,2,29,6.68,2,29,95.4,1,29
2004,SAC,110.3,2,29,104.9,21,29,5.41,3,29,92.8,4,29
2005,SAC,110.5,3,30,108.2,23,30,2.56,9,30,93.0,8,30
2006,SAC,106.7,11,30,105.0,12,30,1.61,11,30,91.9,9,30
2007,SAC,106.2,14,30,108.0,22,30,-1.35,19,30,94.8,4,30
2008,SAC,107.5,13,30,109.9,25,30,-1.86,18,30,94.7,8,30
2009,SAC,105.5,25,30,114.7,30,30,-8.6,30,30,94.2,7,30
2010,SAC,105.3,22,30,109.9,20,30,-4.06,25,30,94.0,7,30
2011,SAC,103.5,25,30,109.0,20,30,-4.8,25,30,95.2,4,30
2012,SAC,103.8,21,30,109.8,29,30,-4.95,25,30,94.7,1,30
2013,SAC,106.2,12,30,111.4,29,30,-4.26,25,30,93.6,8,30
2014,SAC,105.7,20,30,108.8,23,30,-2.08,22,30,94.4,14,30
2015,SAC,105.3,14,30,109.2,27,30,-3.07,22,30,95.4,8,30
2016,SAC,106.0,15,30,108.4,22,30,-2.31,21,30,100.0,1,30
2017,SAC,107.3,21,30,111.3,25,30,-3.29,24,30,94.9,23,30
2018,SAC,103.7,29,30,111.1,28,30,-6.59,28,30,94.9,30,30
2019,SAC,110.4,16,30,111.5,20,30,-0.81,18,30,103.1,5,30
2020,SAC,110.2,18,30,112.2,20,30,-1.58,21,30,98.9,20,30
2021,SAC,113.6,11,30,117.2,30,30,-3.45,24,30,100.0,10,30
2022,SAC,109.9,25,30,115.3,27,30,-5.26,25,30,99.8,8,30
2023,SAC,119.4,1,30,116.8,25,30,2.3,8,30,100.3,12,30
2024,SAC,116.9,13,30,115.2,14,30,2.29,14,30,98.8,14,30
2025,SAC,116.7,7,30,116.2,23,30,0.58,15,30,98.2,19,30
2026,SAC,111.4,26,30,121.5,28,30,-9.58,28,30,99.2,18,30
