year,team,Off Rtg_value,Off Rtg_rank,Off Rtg_of,Def Rtg_value,Def Rtg_rank,Def Rtg_of,SRS_value,SRS_rank,SRS_of,Pace_value,Pace_rank,Pace_of
2000,LAL,107.3,5,29,98.2,1,29,8.41,1,29,93.3,14,29
2001,LAL,108.4,2,29,104.8,21,29,3.74,6,29,91.7,14,29
2002,LAL,109.4,2,29,101.7,7,29,7.15,2,29,92.1,6,29
2003,SAS,105.6,7,29,99.7,3,29,5.65,3,29,90.0,20,29
2004,DET,102.0,18,29,95.4,2,29,5.04,4,29,87.9,24,29
2005,SAS,107.5,8,30,98.8,1,30,7.84,1,30,88.9,23,30
2006,MIA,108.7,7,30,104.5,9,30,3.59,6,30,91.6,12,30
2007,SAS,109.2,5,30,99.9,2,30,8.35,1,30,89.8,27,30
2008,BOS,110.2,10,30,98.9,1,30,9.3,1,30,90.9,19,30
2009,LAL,112.8,3,30,104.7,6,30,7.11,3,30,94.3,5,30
2010,LAL,108.8,11,30,103.7,4,30,4.78,5,30,92.8,14,30
2011,DAL,109.7,8,30,105.0,8,30,4.41,8,30,91.3,17,30
2012,MIA,106.6,8,30,100.2,4,30,5.72,4,30,91.2,16,30
2013,MIA,112.3,2,30,103.7,9,30,7.03,2,30,90.7,23,30
2014,SAS,110.5,7,30,102.4,3,30,8.0,1,30,95.0,10,30
2015,GSW,111.6,2,30,101.4,1,30,10.01,1,30,98.3,1,30
2016,CLE,110.9,3,30,104.5,10,30,5.45,4,30,93.3,28,30
2017,GSW,115.6,1,30,104.0,2,30,11.35,1,30,99.8,4,30
2018,GSW,113.6,3,30,107.6,11,30,5.79,3,30,99.6,5,30
2019,TOR,113.1,5,30,107.1,5,30,5.49,3,30,100.2,15,30
2020,LAL,112.0,11,30,106.3,3,30,6.28,3,30,100.9,11,30
2021,MIL,117.2,6,30,111.4,10,30,5.57,4,30,102.2,2,30
2022,GSW,112.5,17,30,106.9,1,30,5.52,4,30,98.4,13,30
2023,DEN,117.6,5,30,114.2,15,30,3.04,6,30,98.1,23,30
2024,BOS,123.2,1,30,111.6,3,30,10.74,1,30,97.2,23,30
2025,OKC,120.3,3,30,107.5,1,30,12.7,1,30,100.0,6,30
