Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Kobe Bryant,2001-02,23,LAL,NBA,SG,80,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,8.9,3.8,12.7,.199,4.3,0.3,4.6,5.2,"MVP-5,DPOY-3,AS,NBA1,DEF2"
Joe Crispin,2001-02,22,LAL,NBA,PG,6,0,27,5.0,.352,.333,.417,0.0,4.0,2.0,10.8,1.9,0.0,6.6,25.2,-0.1,0.0,0.0,-0.066,-8.4,-1.6,-10.1,-0.1,
Derek Fisher,2001-02,27,LAL,NBA,PG,70,35,1974,14.0,.550,.524,.167,0.8,7.2,4.1,13.9,1.7,0.3,8.0,17.6,3.7,1.8,5.5,.134,1.1,0.0,1.1,1.5,
Rick Fox,2001-02,32,LAL,NBA,SF,82,82,2289,11.3,.502,.344,.140,4.4,14.3,9.4,18.1,1.5,0.7,17.0,15.2,1.5,2.8,4.3,.091,-1.4,0.6,-0.7,0.7,
Devean George,2001-02,24,LAL,NBA,SF,82,1,1759,12.6,.502,.340,.241,4.9,14.0,9.5,9.4,2.1,1.7,10.2,16.4,1.6,2.6,4.2,.113,-0.8,1.0,0.3,1.0,
Robert Horry,2001-02,31,LAL,NBA,PF,81,23,2140,14.5,.528,.441,.300,6.8,17.8,12.3,15.3,1.9,3.0,14.5,12.8,3.3,3.6,6.9,.154,1.2,2.4,3.5,3.0,6MOY-8
Lindsey Hunter,2001-02,31,LAL,NBA,PG,82,47,1616,9.4,.466,.424,.082,1.2,7.0,4.1,11.7,2.1,0.8,9.8,15.6,0.2,1.7,2.0,.059,-2.2,0.7,-1.5,0.2,
Mark Madsen,2001-02,26,LAL,NBA,PF,59,5,650,12.7,.492,.014,.370,15.3,12.3,13.7,9.7,1.3,1.4,11.5,13.2,1.2,0.8,1.9,.142,-1.5,-0.3,-1.9,0.0,
Jelani McCoy,2001-02,24,LAL,NBA,C,21,0,104,9.5,.530,.000,.381,8.6,17.8,13.3,9.9,0.0,3.4,24.6,14.0,0.0,0.1,0.1,.050,-3.7,0.7,-3.0,0.0,
Stanislav Medvedenko,2001-02,22,LAL,NBA,C,71,6,729,15.6,.500,.013,.204,13.0,10.9,12.0,9.9,2.1,1.1,11.3,23.0,0.9,0.9,1.8,.118,-1.5,-0.7,-2.2,0.0,
Shaquille O'Neal,2001-02,29,LAL,NBA,C,67,66,2422,29.7,.590,.001,.583,10.8,21.6,16.3,16.4,0.9,4.1,10.0,31.8,9.2,4.0,13.2,.262,7.1,0.9,8.0,6.1,"MVP-3,AS,NBA1"
Mike Penberthy,2001-02,27,LAL,NBA,PG,3,0,12,31.3,.665,.000,2.000,0.0,18.2,9.2,23.4,8.7,0.0,0.0,14.1,0.1,0.0,0.1,.420,4.0,10.1,14.1,0.0,
Mitch Richmond,2001-02,36,LAL,NBA,SG,64,2,709,10.7,.488,.251,.178,2.2,12.3,7.3,12.3,1.3,0.6,13.1,19.4,0.1,0.8,0.9,.062,-2.5,-0.4,-2.9,-0.2,
Brian Shaw,2001-02,35,LAL,NBA,PG,58,0,631,11.8,.458,.509,.150,3.4,16.1,9.8,20.2,2.1,0.3,14.8,15.4,0.3,0.9,1.2,.089,-1.0,1.0,0.0,0.3,
Samaki Walker,2001-02,25,LAL,NBA,PF,69,63,1655,14.5,.545,.000,.353,8.7,23.2,16.0,5.7,0.9,3.8,11.2,12.9,2.4,2.8,5.3,.153,-0.9,1.0,0.1,0.9,
