Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Mengke Bateer,2002-03,27,SAS,NBA,C,12,0,46,-8.4,.252,.176,.118,5.3,19.2,12.6,13.5,0.0,0.0,25.1,24.1,-0.3,0.1,-0.2,-0.248,-14.7,-2.0,-16.7,-0.2,
Bruce Bowen,2002-03,31,SAS,NBA,SF,82,82,2566,9.1,.563,.478,.186,2.8,7.8,5.4,6.8,1.4,1.1,12.2,10.7,2.4,2.7,5.1,.096,-0.7,1.0,0.2,1.4,"DPOY-7,DEF2"
Devin Brown,2002-03,24,SAS,NBA,SG,7,0,22,13.8,.551,.000,.200,22.1,15.1,18.4,18.0,0.0,0.0,31.5,33.5,0.0,0.0,0.0,-0.023,-3.2,-3.0,-6.2,0.0,
Speedy Claxton,2002-03,24,SAS,NBA,PG,30,0,471,15.9,.509,.076,.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,0.6,0.6,1.2,.125,0.1,1.1,1.2,0.4,
Tim Duncan,2002-03,26,SAS,NBA,PF,81,81,3181,26.9,.564,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,9.5,6.9,16.5,.248,5.0,2.5,7.6,7.7,"MVP-1,DPOY-4,AS,NBA1,DEF1"
Danny Ferry,2002-03,36,SAS,NBA,SF,64,1,601,5.1,.459,.484,.105,4.0,10.1,7.2,5.3,0.6,1.0,17.2,12.1,-0.2,0.6,0.3,.028,-3.1,-0.1,-3.2,-0.2,
Manu GinÃ³bili,2002-03,25,SAS,NBA,SG,69,5,1431,14.7,.556,.373,.431,4.0,8.8,6.5,15.8,3.6,0.8,17.5,18.5,1.8,2.4,4.2,.141,-0.7,2.6,1.9,1.4,ROY-4
Anthony Goldwire,2002-03,31,SAS,NBA,PG,10,0,51,2.5,.318,.444,.111,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,-0.1,0.1,-0.1,-0.069,-7.0,1.2,-5.8,0.0,
Stephen Jackson,2002-03,24,SAS,NBA,SG,80,58,2254,14.5,.526,.363,.224,3.6,10.8,7.4,14.1,3.0,0.9,16.4,22.1,1.2,3.6,4.8,.102,-0.5,1.4,0.9,1.7,
Steve Kerr,2002-03,37,SAS,NBA,PG,75,0,952,11.4,.552,.484,.133,1.5,5.6,3.7,11.9,1.5,0.2,11.4,14.9,1.3,0.9,2.2,.109,-0.1,0.2,0.1,0.5,
Tony Parker,2002-03,20,SAS,NBA,PG,82,82,2774,16.5,.542,.233,.278,1.4,7.3,4.5,27.9,1.4,0.1,14.5,22.9,5.1,2.6,7.7,.134,1.4,-1.0,0.5,1.7,
David Robinson,2002-03,37,SAS,NBA,C,64,64,1676,17.8,.531,.000,.510,11.8,22.8,17.6,5.9,1.7,4.6,13.9,16.5,2.5,3.6,6.0,.172,0.5,1.7,2.1,1.8,
Malik Rose,2002-03,28,SAS,NBA,PF,79,13,1933,16.1,.538,.008,.486,9.3,20.5,15.2,11.0,1.6,1.4,18.2,22.4,1.9,3.3,5.2,.130,-1.0,0.4,-0.6,0.7,6MOY-6
Steve Smith,2002-03,33,SAS,NBA,SG,53,18,1032,12.0,.528,.405,.392,2.5,8.4,5.6,10.9,1.4,0.6,11.2,17.3,1.4,1.1,2.5,.117,-0.5,0.1,-0.4,0.4,
Kevin Willis,2002-03,40,SAS,NBA,C,71,6,840,12.5,.506,.008,.323,12.0,18.8,15.6,4.9,1.3,1.7,17.0,19.5,0.2,1.3,1.6,.091,-3.1,-0.6,-3.7,-0.4,
