Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2003-10-29,,IND,L,87,89,,31,79,.392,2,6,.333,29,73,.397,.405,23,31,.742,16,24,40,15,11,12,15,17,36,79,.456,7,14,.500,29,65,.446,.500,10,15,.667,12,27,39,18,8,9,21,28
2,2,2003-10-31,@,MIA,W,93,81,,30,69,.435,5,14,.357,25,55,.455,.471,28,35,.800,14,26,40,15,6,9,16,27,30,84,.357,1,9,.111,29,75,.387,.363,20,26,.769,20,23,43,14,8,3,13,25
3,3,2003-11-01,@,ORL,W,96,85,,35,84,.417,3,7,.429,32,77,.416,.435,23,28,.821,18,32,50,17,7,5,16,17,32,82,.390,5,12,.417,27,70,.386,.421,16,21,.762,9,24,33,16,7,2,16,23
4,4,2003-11-05,,BOS,W,96,88,,33,80,.413,8,18,.444,25,62,.403,.463,22,32,.688,21,24,45,19,12,5,18,19,35,74,.473,2,13,.154,33,61,.541,.486,16,17,.941,13,27,40,23,13,4,21,27
5,5,2003-11-07,,MIL,W,105,99,,39,87,.448,5,10,.500,34,77,.442,.477,22,28,.786,16,34,50,23,8,9,12,25,36,86,.419,2,11,.182,34,75,.453,.430,25,29,.862,16,29,45,21,8,1,12,24
6,6,2003-11-09,,NJN,W,98,84,,35,80,.438,3,10,.300,32,70,.457,.456,25,33,.758,14,27,41,25,11,3,16,25,32,74,.432,2,9,.222,30,65,.462,.446,18,24,.750,10,27,37,25,8,5,21,30
7,7,2003-11-11,@,SAC,L,91,97,,31,78,.397,2,7,.286,29,71,.408,.410,27,35,.771,11,36,47,9,6,5,16,26,38,79,.481,4,13,.308,34,66,.515,.506,17,25,.680,8,38,46,29,6,5,15,23
8,8,2003-11-12,@,GSW,L,85,87,OT,33,82,.402,2,8,.250,31,74,.419,.415,17,21,.810,10,34,44,26,7,4,20,24,34,76,.447,0,12,.000,34,64,.531,.447,19,24,.792,6,38,44,24,8,7,20,27
9,9,2003-11-14,@,LAL,L,89,94,,37,87,.425,2,10,.200,35,77,.455,.437,13,13,1.000,12,24,36,22,8,8,15,28,36,76,.474,1,6,.167,35,70,.500,.480,21,29,.724,12,29,41,18,11,6,19,22
10,10,2003-11-15,@,PHO,W,100,91,,35,74,.473,3,8,.375,32,66,.485,.493,27,39,.692,10,26,36,15,12,4,11,18,37,80,.463,3,17,.176,34,63,.540,.481,14,17,.824,10,30,40,12,7,6,18,30
11,11,2003-11-18,,LAL,W,106,96,,42,74,.568,2,9,.222,40,65,.615,.581,20,24,.833,14,32,46,23,6,5,17,24,38,81,.469,1,8,.125,37,73,.507,.475,19,23,.826,9,18,27,25,6,3,8,20
12,12,2003-11-19,@,MEM,W,99,92,,37,77,.481,5,7,.714,32,70,.457,.513,20,27,.741,16,30,46,20,8,7,18,26,35,80,.438,5,19,.263,30,61,.492,.469,17,23,.739,13,25,38,24,9,6,16,21
13,13,2003-11-21,,NYK,W,94,85,,31,78,.397,3,11,.273,28,67,.418,.417,29,37,.784,12,35,47,17,7,14,14,23,32,81,.395,3,13,.231,29,68,.426,.414,18,20,.900,11,28,39,21,7,3,15,33
14,14,2003-11-23,,NOH,L,80,81,,32,80,.400,5,16,.313,27,64,.422,.431,11,17,.647,18,36,54,28,3,6,18,14,32,92,.348,7,23,.304,25,69,.362,.386,10,15,.667,20,29,49,20,12,5,10,21
15,15,2003-11-24,@,ATL,W,94,89,,35,83,.422,2,11,.182,33,72,.458,.434,22,27,.815,14,25,39,18,12,4,13,22,30,69,.435,4,15,.267,26,54,.481,.464,25,26,.962,10,35,45,16,6,9,21,27
16,16,2003-11-26,@,PHI,L,86,90,,33,72,.458,6,18,.333,27,54,.500,.500,14,19,.737,10,26,36,18,8,7,20,20,39,81,.481,3,8,.375,36,73,.493,.500,9,13,.692,8,27,35,23,15,3,15,22
17,17,2003-11-28,,CLE,W,92,88,,32,78,.410,3,6,.500,29,72,.403,.429,25,34,.735,12,32,44,21,5,6,13,20,36,79,.456,1,7,.143,35,72,.486,.462,15,20,.750,9,36,45,22,7,7,18,29
18,18,2003-11-29,@,WAS,W,80,69,,27,66,.409,3,6,.500,24,60,.400,.432,23,29,.793,11,36,47,14,7,2,15,19,28,74,.378,3,11,.273,25,63,.397,.399,10,18,.556,12,26,38,11,9,4,16,28
19,19,2003-12-01,@,NYK,W,79,78,OT,28,73,.384,2,8,.250,26,65,.400,.397,21,28,.750,10,32,42,16,15,5,24,19,33,85,.388,3,14,.214,30,71,.423,.406,9,14,.643,12,35,47,16,10,5,21,25
20,20,2003-12-03,,MIA,W,87,73,,29,81,.358,1,6,.167,28,75,.373,.364,28,33,.848,19,35,54,15,8,14,11,21,31,92,.337,4,22,.182,27,70,.386,.359,7,12,.583,23,28,51,13,5,6,16,25
21,21,2003-12-06,@,HOU,L,80,86,,27,66,.409,1,7,.143,26,59,.441,.417,25,34,.735,3,29,32,13,6,1,11,15,37,80,.463,4,13,.308,33,67,.493,.488,8,15,.533,14,33,47,20,8,7,14,24
22,22,2003-12-09,,PHI,L,76,78,,28,75,.373,7,14,.500,21,61,.344,.420,13,16,.813,9,30,39,18,7,14,14,18,34,80,.425,2,7,.286,32,73,.438,.438,8,12,.667,11,31,42,18,9,6,13,19
23,23,2003-12-11,@,CLE,L,86,95,,28,78,.359,3,8,.375,25,70,.357,.378,27,32,.844,10,18,28,19,12,2,14,25,35,66,.530,2,5,.400,33,61,.541,.545,23,30,.767,10,35,45,25,6,9,24,30
24,24,2003-12-12,,SEA,L,72,93,,29,76,.382,0,8,.000,29,68,.426,.382,14,17,.824,20,18,38,16,4,8,19,19,35,70,.500,10,17,.588,25,53,.472,.571,13,20,.650,10,23,33,21,11,5,16,22
25,25,2003-12-17,,CHI,W,77,73,,32,69,.464,0,6,.000,32,63,.508,.464,13,18,.722,10,30,40,21,7,10,20,23,26,83,.313,5,23,.217,21,60,.350,.343,16,19,.842,20,26,46,18,13,2,17,23
26,26,2003-12-19,@,IND,L,75,80,,28,63,.444,2,7,.286,26,56,.464,.460,17,22,.773,9,31,40,15,7,9,19,19,32,83,.386,1,13,.077,31,70,.443,.392,15,19,.789,20,25,45,20,10,5,11,19
27,27,2003-12-21,,UTA,W,96,75,,36,67,.537,6,13,.462,30,54,.556,.582,18,26,.692,9,26,35,24,4,3,20,29,27,61,.443,1,8,.125,26,53,.491,.451,20,32,.625,6,24,30,20,5,4,24,29
28,28,2003-12-23,@,MIL,L,78,83,,31,86,.360,4,14,.286,27,72,.375,.384,12,18,.667,22,31,53,16,6,4,13,20,32,79,.405,4,11,.364,28,68,.412,.430,15,24,.625,16,34,50,18,4,5,9,19
29,29,2003-12-26,,NJN,L,79,82,,31,82,.378,5,18,.278,26,64,.406,.409,12,18,.667,11,33,44,20,4,10,12,22,31,80,.388,4,13,.308,27,67,.403,.413,16,26,.615,17,36,53,27,6,4,11,19
30,30,2003-12-27,@,ATL,W,87,84,,36,84,.429,6,19,.316,30,65,.462,.464,9,12,.750,14,28,42,17,5,5,11,15,33,73,.452,5,14,.357,28,59,.475,.486,13,19,.684,13,29,42,17,5,5,13,19
31,31,2003-12-29,,NOH,W,108,99,,42,77,.545,6,14,.429,36,63,.571,.584,18,26,.692,11,29,40,22,4,5,18,25,38,82,.463,6,25,.240,32,57,.561,.500,17,25,.680,7,24,31,24,11,2,12,27
32,32,2003-12-31,,POR,W,78,71,,32,77,.416,4,7,.571,28,70,.400,.442,10,12,.833,11,30,41,22,8,9,10,12,28,70,.400,3,11,.273,25,59,.424,.421,12,16,.750,9,27,36,18,5,6,11,12
33,33,2004-01-02,,PHO,W,93,81,,35,90,.389,5,21,.238,30,69,.435,.417,18,19,.947,21,33,54,26,6,6,14,15,30,76,.395,4,11,.364,26,65,.400,.421,17,19,.895,7,27,34,20,4,9,14,19
34,34,2004-01-03,,GSW,W,99,93,,39,77,.506,6,10,.600,33,67,.493,.545,15,18,.833,7,30,37,27,8,8,13,20,34,75,.453,7,21,.333,27,54,.500,.500,18,26,.692,8,28,36,24,9,4,15,15
35,35,2004-01-05,@,BOS,W,78,68,,34,83,.410,1,12,.083,33,71,.465,.416,9,12,.750,10,40,50,18,11,6,17,20,24,82,.293,9,34,.265,15,48,.313,.348,11,13,.846,16,32,48,15,6,3,18,16
36,36,2004-01-07,,HOU,W,85,66,,31,78,.397,6,15,.400,25,63,.397,.436,17,23,.739,13,37,50,22,8,8,10,20,24,72,.333,7,22,.318,17,50,.340,.382,11,19,.579,10,31,41,10,5,6,15,23
37,37,2004-01-11,,DAL,W,115,102,,40,78,.513,13,20,.650,27,58,.466,.596,22,30,.733,13,27,40,28,8,7,16,19,40,83,.482,5,24,.208,35,59,.593,.512,17,23,.739,9,26,35,20,7,1,9,20
38,38,2004-01-13,@,CHI,W,105,89,,37,86,.430,7,15,.467,30,71,.423,.471,24,31,.774,22,34,56,24,3,4,13,18,38,87,.437,4,12,.333,34,75,.453,.460,9,14,.643,15,20,35,27,6,4,7,25
39,39,2004-01-14,,TOR,W,95,91,,30,79,.380,3,14,.214,27,65,.415,.399,32,41,.780,16,38,54,15,3,5,11,18,34,83,.410,6,14,.429,28,69,.406,.446,17,21,.810,10,29,39,18,4,6,8,32
40,40,2004-01-16,,WAS,W,98,77,,40,77,.519,7,15,.467,33,62,.532,.565,11,15,.733,14,34,48,31,9,12,20,13,30,78,.385,4,13,.308,26,65,.400,.410,13,17,.765,12,22,34,13,13,5,15,19
41,41,2004-01-17,@,MIL,W,99,94,,38,74,.514,2,6,.333,36,68,.529,.527,21,23,.913,11,34,45,21,8,7,18,21,38,85,.447,9,23,.391,29,62,.468,.500,9,14,.643,11,21,32,18,8,8,11,18
42,42,2004-01-19,,SAS,W,85,77,,30,73,.411,8,17,.471,22,56,.393,.466,17,21,.810,12,31,43,19,10,8,18,17,32,74,.432,8,23,.348,24,51,.471,.486,5,13,.385,8,27,35,22,8,4,16,23
43,43,2004-01-20,@,IND,L,69,81,,25,64,.391,1,5,.200,24,59,.407,.398,18,27,.667,9,29,38,18,2,4,21,20,28,74,.378,6,14,.429,22,60,.367,.419,19,20,.950,8,29,37,21,10,10,12,27
44,44,2004-01-23,@,MIN,L,79,80,,27,72,.375,6,12,.500,21,60,.350,.417,19,23,.826,9,36,45,19,8,8,16,15,31,85,.365,4,14,.286,27,71,.380,.388,14,15,.933,12,35,47,18,9,6,12,17
45,45,2004-01-25,,ATL,L,82,91,,30,70,.429,1,12,.083,29,58,.500,.436,21,30,.700,12,26,38,18,7,9,19,20,35,75,.467,7,17,.412,28,58,.483,.513,14,16,.875,10,25,35,23,11,7,18,28
46,46,2004-01-28,@,BOS,W,106,103,,32,72,.444,5,13,.385,27,59,.458,.479,37,43,.860,7,29,36,17,9,5,13,22,32,73,.438,9,18,.500,23,55,.418,.500,30,33,.909,10,31,41,19,4,5,19,28
47,47,2004-01-30,@,TOR,W,90,89,OT,33,82,.402,2,7,.286,31,75,.413,.415,22,27,.815,10,35,45,11,8,3,18,21,36,87,.414,5,14,.357,31,73,.425,.443,12,19,.632,14,30,44,15,6,7,13,24
48,48,2004-01-31,,MEM,W,80,78,,34,79,.430,1,9,.111,33,70,.471,.437,11,16,.688,15,30,45,17,9,7,16,21,31,78,.397,2,13,.154,29,65,.446,.410,14,18,.778,13,29,42,17,7,6,13,17
49,49,2004-02-02,@,MIA,W,102,100,OT,37,90,.411,5,14,.357,32,76,.421,.439,23,31,.742,17,27,44,19,8,5,11,22,38,80,.475,7,20,.350,31,60,.517,.519,17,22,.773,11,34,45,23,5,4,15,26
50,50,2004-02-03,,CLE,L,82,85,,33,86,.384,3,9,.333,30,77,.390,.401,13,23,.565,15,34,49,17,3,9,14,18,35,84,.417,1,4,.250,34,80,.425,.423,14,20,.700,14,31,45,21,7,7,9,24
51,51,2004-02-06,@,NOH,L,81,92,,30,78,.385,2,15,.133,28,63,.444,.397,19,24,.792,13,29,42,15,3,9,13,24,33,80,.413,3,13,.231,30,67,.448,.431,23,29,.793,17,36,53,13,7,4,11,24
52,52,2004-02-07,@,DAL,L,108,111,,40,72,.556,2,6,.333,38,66,.576,.569,26,31,.839,11,24,35,22,8,5,18,25,41,74,.554,7,15,.467,34,59,.576,.601,22,25,.880,8,21,29,23,9,7,17,21
