Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2005-11-02,@,MEM,W,97,78,,37,78,.474,7,18,.389,30,60,.500,.519,16,21,.762,9,41,50,19,7,7,19,29,29,85,.341,4,17,.235,25,68,.368,.365,16,26,.615,14,30,44,16,8,6,16,21
2,2,2005-11-03,,IND,L,102,105,,36,75,.480,3,16,.188,33,59,.559,.500,27,42,.643,10,31,41,19,5,8,17,27,37,77,.481,5,10,.500,32,67,.478,.513,26,33,.788,9,30,39,17,8,2,12,30
3,3,2005-11-05,@,MIL,L,100,105,,37,76,.487,10,25,.400,27,51,.529,.553,16,25,.640,10,26,36,22,7,6,17,21,40,81,.494,7,13,.538,33,68,.485,.537,18,23,.783,11,25,36,22,11,2,14,18
4,4,2005-11-07,,NJN,W,90,89,,34,70,.486,5,19,.263,29,51,.569,.521,17,24,.708,9,24,33,21,7,9,13,21,34,76,.447,3,9,.333,31,67,.463,.467,18,25,.720,16,24,40,12,5,3,14,23
5,5,2005-11-09,@,IND,L,90,95,,34,74,.459,3,11,.273,31,63,.492,.480,19,28,.679,14,33,47,19,7,8,22,30,32,75,.427,4,10,.400,28,65,.431,.453,27,38,.711,9,31,40,20,9,2,14,24
6,6,2005-11-10,,HOU,W,88,84,,34,78,.436,7,22,.318,27,56,.482,.481,13,21,.619,13,30,43,15,4,4,14,24,32,76,.421,4,17,.235,28,59,.475,.447,16,26,.615,14,32,46,19,9,2,16,25
7,7,2005-11-12,,CHA,W,108,99,,42,74,.568,9,19,.474,33,55,.600,.628,15,24,.625,11,45,56,26,3,7,27,25,34,87,.391,6,14,.429,28,73,.384,.425,25,36,.694,8,20,28,21,20,5,9,23
8,8,2005-11-15,,NOK,W,109,102,OT,37,84,.440,11,26,.423,26,58,.448,.506,24,28,.857,8,32,40,23,6,6,12,20,41,93,.441,4,15,.267,37,78,.474,.462,16,25,.640,18,36,54,21,7,2,15,23
9,9,2005-11-18,,PHI,W,106,96,,39,78,.500,9,20,.450,30,58,.517,.558,19,26,.731,16,30,46,20,6,5,19,24,34,78,.436,4,13,.308,30,65,.462,.462,24,32,.750,11,24,35,13,6,5,11,19
10,10,2005-11-20,@,TOR,L,94,107,,37,83,.446,8,27,.296,29,56,.518,.494,12,18,.667,9,30,39,20,5,4,13,27,37,82,.451,8,21,.381,29,61,.475,.500,25,35,.714,15,32,47,24,4,5,12,21
11,11,2005-11-23,,POR,W,100,79,,38,77,.494,9,16,.563,29,61,.475,.552,15,17,.882,7,34,41,18,2,6,11,13,32,73,.438,5,12,.417,27,61,.443,.473,10,15,.667,5,30,35,16,4,7,15,20
12,12,2005-11-25,,DAL,L,90,103,,35,80,.438,0,11,.000,35,69,.507,.438,20,29,.690,12,23,35,12,9,6,12,19,37,74,.500,8,15,.533,29,59,.492,.554,21,24,.875,8,32,40,19,7,2,15,17
13,13,2005-11-26,@,ORL,L,77,80,,26,81,.321,6,21,.286,20,60,.333,.358,19,29,.655,19,32,51,13,6,8,16,28,27,77,.351,1,7,.143,26,70,.371,.357,25,32,.781,16,31,47,11,5,6,12,20
14,14,2005-11-28,,NYK,W,107,94,,35,74,.473,7,18,.389,28,56,.500,.520,30,34,.882,11,30,41,19,7,13,11,16,39,82,.476,6,10,.600,33,72,.458,.512,10,18,.556,10,25,35,19,3,2,12,26
15,15,2005-11-30,@,ATL,W,96,74,,40,75,.533,6,17,.353,34,58,.586,.573,10,14,.714,7,34,41,24,7,3,12,17,30,75,.400,0,7,.000,30,68,.441,.400,14,20,.700,10,27,37,16,5,2,13,16
16,16,2005-12-02,@,SAC,W,98,87,,36,74,.486,11,21,.524,25,53,.472,.561,15,18,.833,7,33,40,23,7,12,20,21,35,83,.422,3,15,.200,32,68,.471,.440,14,17,.824,8,28,36,28,8,5,14,21
17,17,2005-12-03,@,DEN,L,99,101,,36,79,.456,9,25,.360,27,54,.500,.513,18,25,.720,12,34,46,19,4,6,15,23,41,89,.461,4,10,.400,37,79,.468,.483,15,20,.750,11,27,38,31,4,4,7,24
18,18,2005-12-05,@,LAC,L,89,99,,33,82,.402,7,21,.333,26,61,.426,.445,16,25,.640,6,31,37,20,8,7,13,25,38,77,.494,3,8,.375,35,69,.507,.513,20,27,.741,6,39,45,27,4,8,13,21
19,19,2005-12-07,@,SAS,L,84,98,,28,78,.359,5,13,.385,23,65,.354,.391,23,28,.821,12,28,40,16,9,1,17,23,38,81,.469,3,18,.167,35,63,.556,.488,19,25,.760,10,31,41,24,11,6,17,25
20,20,2005-12-09,,DEN,L,92,100,,32,76,.421,6,18,.333,26,58,.448,.461,22,29,.759,11,30,41,18,7,5,16,25,33,81,.407,3,12,.250,30,69,.435,.426,31,35,.886,12,33,45,17,5,3,14,27
21,21,2005-12-11,,WAS,W,104,101,OT,35,83,.422,6,20,.300,29,63,.460,.458,28,45,.622,13,37,50,15,8,7,16,28,36,93,.387,7,24,.292,29,69,.420,.425,22,29,.759,13,35,48,18,5,7,15,33
22,22,2005-12-13,@,CHI,W,100,97,,39,87,.448,6,13,.462,33,74,.446,.483,16,27,.593,13,27,40,27,8,5,7,28,33,77,.429,7,22,.318,26,55,.473,.474,24,36,.667,12,34,46,26,4,4,13,22
23,23,2005-12-14,@,MIL,W,100,83,,37,80,.463,7,19,.368,30,61,.492,.506,19,23,.826,6,37,43,16,7,8,10,24,32,83,.386,3,21,.143,29,62,.468,.404,16,23,.696,11,35,46,24,2,2,13,20
24,24,2005-12-16,@,PHI,W,112,105,,41,78,.526,9,20,.450,32,58,.552,.583,21,29,.724,9,40,49,26,4,6,14,28,40,88,.455,3,12,.250,37,76,.487,.472,22,34,.647,12,23,35,20,12,6,8,22
25,25,2005-12-17,@,CLE,L,107,115,,42,85,.494,8,22,.364,34,63,.540,.541,15,24,.625,12,29,41,23,5,6,13,18,40,78,.513,11,28,.393,29,50,.580,.583,24,31,.774,4,33,37,29,6,4,12,24
26,26,2005-12-20,,ATL,W,111,92,,40,78,.513,4,11,.364,36,67,.537,.538,27,35,.771,12,39,51,24,5,5,15,30,33,79,.418,2,11,.182,31,68,.456,.430,24,34,.706,7,27,34,15,7,3,12,29
27,27,2005-12-23,,NJN,L,88,95,,30,82,.366,6,19,.316,24,63,.381,.402,22,35,.629,8,42,50,19,5,4,10,27,30,77,.390,9,22,.409,21,55,.382,.448,26,32,.813,4,46,50,17,4,3,10,27
28,28,2005-12-25,,LAL,W,97,92,,36,80,.450,3,12,.250,33,68,.485,.469,22,33,.667,15,32,47,17,6,7,17,27,33,85,.388,3,21,.143,30,64,.469,.406,23,31,.742,19,30,49,20,5,9,19,29
29,29,2005-12-27,,MIL,W,109,98,,37,77,.481,6,21,.286,31,56,.554,.519,29,36,.806,9,24,33,17,9,4,13,23,34,73,.466,5,14,.357,29,59,.492,.500,25,34,.735,8,32,40,12,6,2,19,33
30,30,2005-12-29,@,DET,L,101,106,,42,80,.525,4,13,.308,38,67,.567,.550,13,20,.650,10,26,36,24,5,4,12,25,37,76,.487,7,18,.389,30,58,.517,.533,25,29,.862,8,23,31,24,4,5,10,15
31,31,2005-12-30,@,WAS,W,128,113,,45,82,.549,6,18,.333,39,64,.609,.585,32,44,.727,13,39,52,26,4,3,14,32,35,92,.380,6,16,.375,29,76,.382,.413,37,45,.822,16,26,42,17,6,3,10,33
32,32,2006-01-01,,MIN,W,97,70,,39,75,.520,8,15,.533,31,60,.517,.573,11,17,.647,10,35,45,23,8,1,14,19,25,77,.325,6,16,.375,19,61,.311,.364,14,19,.737,14,23,37,19,8,7,16,20
33,33,2006-01-04,@,NOK,L,92,107,,34,76,.447,9,23,.391,25,53,.472,.507,15,24,.625,13,33,46,19,6,5,17,26,38,77,.494,8,14,.571,30,63,.476,.545,23,30,.767,10,30,40,23,10,4,10,26
34,34,2006-01-06,@,PHO,L,93,111,,36,92,.391,6,20,.300,30,72,.417,.424,15,20,.750,14,33,47,18,4,1,14,22,42,79,.532,13,26,.500,29,53,.547,.614,14,22,.636,4,40,44,38,4,4,14,16
35,35,2006-01-08,@,POR,W,118,89,,47,80,.588,10,17,.588,37,63,.587,.650,14,22,.636,7,42,49,28,10,1,13,26,31,74,.419,1,10,.100,30,64,.469,.426,26,36,.722,6,29,35,17,7,2,12,20
36,36,2006-01-11,@,GSW,W,110,96,,46,78,.590,10,18,.556,36,60,.600,.654,8,19,.421,5,43,48,34,2,8,15,22,33,86,.384,9,26,.346,24,60,.400,.436,21,26,.808,7,30,37,22,8,3,8,23
37,37,2006-01-13,@,SEA,W,117,104,,42,84,.500,8,22,.364,34,62,.548,.548,25,27,.926,14,33,47,24,4,10,15,25,39,88,.443,3,16,.188,36,72,.500,.460,23,30,.767,12,20,32,18,9,4,8,23
38,38,2006-01-14,@,UTA,W,100,94,,35,79,.443,8,18,.444,27,61,.443,.494,22,28,.786,18,32,50,20,11,6,16,19,34,74,.459,3,13,.231,31,61,.508,.480,23,30,.767,9,27,36,25,8,8,14,22
39,39,2006-01-16,@,LAL,L,92,100,,34,83,.410,5,18,.278,29,65,.446,.440,19,30,.633,17,27,44,22,1,5,7,24,34,73,.466,5,15,.333,29,58,.500,.500,27,31,.871,9,31,40,24,1,2,10,28
40,40,2006-01-20,,SAS,L,94,101,,38,78,.487,3,11,.273,35,67,.522,.506,15,25,.600,7,30,37,11,6,4,15,28,34,69,.493,8,18,.444,26,51,.510,.551,25,43,.581,7,31,38,15,6,7,14,24
41,41,2006-01-22,,SAC,W,119,99,,47,79,.595,5,15,.333,42,64,.656,.627,20,30,.667,8,29,37,28,10,9,6,16,38,88,.432,9,19,.474,29,69,.420,.483,14,18,.778,17,26,43,22,2,2,14,23
42,42,2006-01-24,,MEM,W,94,82,,30,64,.469,4,15,.267,26,49,.531,.500,30,46,.652,11,36,47,17,11,9,17,22,28,70,.400,10,28,.357,18,42,.429,.471,16,27,.593,8,22,30,15,11,4,17,32
43,43,2006-01-26,,PHO,L,98,107,,40,90,.444,6,21,.286,34,69,.493,.478,12,22,.545,15,35,50,21,8,3,14,21,37,82,.451,13,24,.542,24,58,.414,.530,20,21,.952,9,34,43,24,4,4,14,21
44,44,2006-01-27,@,CHA,W,91,85,,36,76,.474,5,22,.227,31,54,.574,.507,14,20,.700,11,31,42,21,4,5,14,16,33,80,.413,7,19,.368,26,61,.426,.456,12,16,.750,9,26,35,20,7,2,13,18
45,45,2006-01-29,@,HOU,W,101,95,,31,69,.449,9,21,.429,22,48,.458,.514,30,40,.750,10,35,45,23,4,5,12,20,32,86,.372,10,29,.345,22,57,.386,.430,21,27,.778,15,26,41,14,8,3,10,30
46,46,2006-01-30,,LAC,W,118,114,,40,73,.548,11,20,.550,29,53,.547,.623,27,39,.692,7,24,31,28,5,9,13,22,45,83,.542,7,11,.636,38,72,.528,.584,17,18,.944,8,23,31,23,1,5,14,29
47,47,2006-02-02,,CLE,W,101,73,,43,83,.518,6,15,.400,37,68,.544,.554,9,17,.529,7,46,53,20,6,8,14,21,29,86,.337,6,20,.300,23,66,.348,.372,9,19,.474,10,29,39,14,5,4,13,15
48,48,2006-02-04,@,NJN,L,92,105,,31,77,.403,6,23,.261,25,54,.463,.442,24,30,.800,7,30,37,22,7,3,14,20,42,79,.532,9,22,.409,33,57,.579,.589,12,18,.667,5,36,41,31,7,4,14,23
49,49,2006-02-06,,BOS,W,114,98,,41,81,.506,5,17,.294,36,64,.563,.537,27,36,.750,10,34,44,24,5,6,7,27,30,73,.411,6,18,.333,24,55,.436,.452,32,39,.821,9,27,36,13,3,1,13,27
50,50,2006-02-09,@,DAL,L,76,112,,31,66,.470,2,9,.222,29,57,.509,.485,12,19,.632,4,24,28,19,6,8,19,18,45,80,.563,11,16,.688,34,64,.531,.631,11,13,.846,8,28,36,24,9,6,14,15
51,51,2006-02-12,,DET,W,100,98,,42,90,.467,1,12,.083,41,78,.526,.472,15,21,.714,14,23,37,15,7,4,5,19,36,76,.474,11,20,.550,25,56,.446,.546,15,18,.833,9,27,36,26,1,5,15,19
52,52,2006-02-14,,ORL,W,107,93,,36,62,.581,3,11,.273,33,51,.647,.605,32,47,.681,9,37,46,16,4,6,20,29,33,81,.407,2,8,.250,31,73,.425,.420,25,37,.676,14,19,33,13,8,1,7,34
53,53,2006-02-15,@,ORL,W,110,100,,40,74,.541,10,21,.476,30,53,.566,.608,20,29,.690,12,28,40,26,4,5,18,36,30,74,.405,2,9,.222,28,65,.431,.419,38,47,.809,13,26,39,21,8,1,13,21
54,54,2006-02-22,@,NYK,W,103,83,,37,74,.500,7,18,.389,30,56,.536,.547,22,31,.710,8,36,44,17,7,4,17,16,34,85,.400,5,15,.333,29,70,.414,.429,10,13,.769,13,29,42,13,5,1,16,28
55,55,2006-02-25,,SEA,W,115,106,,51,87,.586,3,18,.167,48,69,.696,.603,10,21,.476,10,41,51,34,5,9,15,21,38,90,.422,7,20,.350,31,70,.443,.461,23,29,.793,11,29,40,19,10,2,10,20
56,56,2006-02-27,,TOR,W,101,94,,44,73,.603,3,13,.231,41,60,.683,.623,10,25,.400,8,31,39,23,11,4,17,20,36,81,.444,9,25,.360,27,56,.482,.500,13,19,.684,9,27,36,17,11,2,13,20
57,57,2006-03-01,@,BOS,W,103,96,,39,77,.506,8,19,.421,31,58,.534,.558,17,32,.531,15,27,42,25,10,6,9,17,33,67,.493,10,22,.455,23,45,.511,.567,20,23,.870,7,29,36,19,6,0,16,25
58,58,2006-03-04,,ATL,W,95,93,,32,63,.508,3,16,.188,29,47,.617,.532,28,44,.636,6,29,35,21,10,7,16,24,34,74,.459,3,9,.333,31,65,.477,.480,22,28,.786,11,28,39,20,7,5,16,34
59,59,2006-03-06,@,CHA,W,106,105,OT,42,89,.472,8,24,.333,34,65,.523,.517,14,25,.560,11,39,50,18,6,1,12,21,38,86,.442,7,17,.412,31,69,.449,.483,22,28,.786,10,34,44,21,9,5,9,23
60,60,2006-03-08,,WAS,W,118,112,,39,75,.520,9,22,.409,30,53,.566,.580,31,41,.756,10,28,38,22,6,5,13,24,39,83,.470,7,19,.368,32,64,.500,.512,27,33,.818,14,24,38,15,8,2,13,31
61,61,2006-03-10,,GSW,L,106,111,,40,77,.519,8,24,.333,32,53,.604,.571,18,26,.692,9,30,39,21,5,6,16,26,40,77,.519,10,17,.588,30,60,.500,.584,21,38,.553,9,25,34,17,9,1,12,26
62,62,2006-03-12,,CLE,W,98,92,,34,78,.436,6,17,.353,28,61,.459,.474,24,33,.727,13,32,45,19,4,3,15,28,30,74,.405,2,11,.182,28,63,.444,.419,30,37,.811,10,30,40,10,6,3,14,29
63,63,2006-03-14,,UTA,W,121,83,,36,63,.571,7,18,.389,29,45,.644,.627,42,48,.875,8,42,50,20,8,9,17,19,38,94,.404,1,9,.111,37,85,.435,.410,6,13,.462,12,17,29,28,9,2,9,32
64,64,2006-03-16,,BOS,W,107,104,,41,75,.547,7,18,.389,34,57,.596,.593,18,32,.563,8,29,37,17,7,4,15,15,41,84,.488,8,20,.400,33,64,.516,.536,14,21,.667,7,25,32,20,9,0,16,27
65,65,2006-03-18,@,CHI,W,85,84,,23,71,.324,10,24,.417,13,47,.277,.394,29,38,.763,9,36,45,18,8,9,23,19,35,82,.427,5,16,.313,30,66,.455,.457,9,17,.529,9,31,40,23,10,5,20,27
66,66,2006-03-19,@,NYK,W,111,100,,40,74,.541,9,21,.429,31,53,.585,.601,22,34,.647,6,32,38,26,9,9,9,22,41,84,.488,4,9,.444,37,75,.493,.512,14,20,.700,13,29,42,17,4,1,13,25
67,67,2006-03-21,@,MIN,L,96,100,,31,76,.408,6,22,.273,25,54,.463,.447,28,36,.778,14,27,41,18,5,3,16,23,38,78,.487,5,11,.455,33,67,.493,.519,19,24,.792,8,29,37,24,5,3,10,25
68,68,2006-03-22,@,DET,L,73,82,,28,74,.378,7,17,.412,21,57,.368,.426,10,14,.714,10,37,47,21,4,3,16,23,29,83,.349,6,22,.273,23,61,.377,.386,18,23,.783,12,33,45,19,8,8,5,13
69,69,2006-03-24,,CHA,W,114,93,,45,78,.577,3,9,.333,42,69,.609,.596,21,27,.778,11,36,47,31,11,4,14,17,38,85,.447,7,22,.318,31,63,.492,.488,10,15,.667,10,24,34,20,9,2,13,24
70,70,2006-03-27,,IND,W,96,91,,36,83,.434,2,14,.143,34,69,.493,.446,22,28,.786,18,35,53,9,7,3,13,19,34,79,.430,5,19,.263,29,60,.483,.462,18,24,.750,8,24,32,18,6,4,12,23
71,71,2006-03-29,@,TOR,W,98,94,,34,81,.420,4,17,.235,30,64,.469,.444,26,32,.813,15,36,51,13,4,2,16,15,37,83,.446,6,21,.286,31,62,.500,.482,14,17,.824,8,31,39,21,8,5,10,25
72,72,2006-04-01,@,CLE,L,99,106,,39,83,.470,3,16,.188,36,67,.537,.488,18,21,.857,10,26,36,19,5,2,10,24,39,77,.506,7,23,.304,32,54,.593,.552,21,33,.636,13,31,44,19,8,3,15,22
73,73,2006-04-02,@,NJN,L,78,90,,31,75,.413,2,12,.167,29,63,.460,.427,14,25,.560,11,37,48,19,6,3,15,22,33,78,.423,8,19,.421,25,59,.424,.474,16,20,.800,5,31,36,22,7,4,10,20
74,74,2006-04-04,,MIL,W,115,89,,45,73,.616,5,10,.500,40,63,.635,.651,20,33,.606,7,37,44,25,8,5,16,24,30,71,.423,9,19,.474,21,52,.404,.486,20,29,.690,4,28,32,14,11,2,14,26
75,75,2006-04-06,,DET,L,82,95,,33,74,.446,0,10,.000,33,64,.516,.446,16,26,.615,11,29,40,16,3,2,11,20,36,73,.493,5,12,.417,31,61,.508,.527,18,27,.667,9,33,42,19,5,4,11,15
76,76,2006-04-08,@,WAS,W,99,86,,38,82,.463,7,22,.318,31,60,.517,.506,16,21,.762,12,34,46,28,11,5,19,29,27,68,.397,6,21,.286,21,47,.447,.441,26,34,.765,7,26,33,10,8,3,20,23
77,77,2006-04-09,,ORL,L,84,93,,33,66,.500,2,9,.222,31,57,.544,.515,16,23,.696,8,29,37,18,6,5,20,25,34,66,.515,4,7,.571,30,59,.508,.545,21,30,.700,4,21,25,13,11,2,14,22
78,78,2006-04-11,,TOR,W,106,97,,42,80,.525,6,17,.353,36,63,.571,.563,16,23,.696,11,33,44,26,4,3,9,21,29,68,.426,13,26,.500,16,42,.381,.522,26,35,.743,6,25,31,14,3,1,11,27
79,79,2006-04-14,,PHI,W,104,85,,40,76,.526,2,12,.167,38,64,.594,.539,22,29,.759,12,30,42,19,12,4,19,23,32,78,.410,3,16,.188,29,62,.468,.429,18,29,.621,11,25,36,12,9,3,20,22
80,80,2006-04-16,,CHI,L,93,117,,32,76,.421,6,14,.429,26,62,.419,.461,23,27,.852,9,26,35,13,6,4,16,25,43,85,.506,8,18,.444,35,67,.522,.553,23,32,.719,14,31,45,24,4,5,12,24
81,81,2006-04-18,@,ATL,L,100,103,,42,84,.500,6,19,.316,36,65,.554,.536,10,14,.714,8,33,41,25,3,4,11,20,37,83,.446,9,20,.450,28,63,.444,.500,20,25,.800,15,28,43,22,6,4,10,16
82,82,2006-04-19,@,BOS,L,78,85,,23,71,.324,5,13,.385,18,58,.310,.359,27,37,.730,7,35,42,12,9,3,15,23,27,75,.360,4,15,.267,23,60,.383,.387,27,32,.844,10,41,51,10,10,6,16,24
,,,,,52-30,8191,7874,,3039,6355,.478,497,1441,.345,2542,4914,.517,.517,1616,2310,.700,858,2675,3533,1692,522,442,1186,1871,2871,6529,.440,490,1359,.361,2381,5170,.461,.477,1642,2223,.739,826,2359,3185,1596,560,298,1063,1938
