Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2009-10-27,,LAC,W,99,92,,35,85,.412,4,17,.235,31,68,.456,.435,25,37,.676,17,30,47,17,13,4,16,15,39,87,.448,3,15,.200,36,72,.500,.466,11,16,.688,15,36,51,27,10,4,20,27
2,2,2009-10-30,,DAL,L,80,94,,32,81,.395,7,23,.304,25,58,.431,.438,9,14,.643,13,27,40,19,7,1,19,29,32,77,.416,5,15,.333,27,62,.435,.448,25,32,.781,13,33,46,19,6,3,18,21
3,3,2009-11-01,,ATL,W,118,110,,46,87,.529,5,15,.333,41,72,.569,.557,21,25,.840,11,31,42,26,14,6,16,20,40,89,.449,7,23,.304,33,66,.500,.489,23,26,.885,14,26,40,21,8,3,20,21
4,4,2009-11-03,@,OKC,W,101,98,OT,38,73,.521,5,11,.455,33,62,.532,.555,20,28,.714,7,29,36,19,16,2,26,27,38,88,.432,6,23,.261,32,65,.492,.466,16,19,.842,13,24,37,23,14,7,21,23
5,5,2009-11-04,@,HOU,W,103,102,OT,39,93,.419,5,15,.333,34,78,.436,.446,20,28,.714,17,31,48,16,11,4,9,20,39,86,.453,7,24,.292,32,62,.516,.494,17,24,.708,17,37,54,19,2,3,20,25
6,6,2009-11-06,,MEM,W,114,98,,48,95,.505,9,17,.529,39,78,.500,.553,9,11,.818,18,31,49,35,5,6,8,23,36,79,.456,4,7,.571,32,72,.444,.481,22,29,.759,13,24,37,13,4,4,12,18
7,7,2009-11-08,,NOH,W,104,88,,38,81,.469,12,27,.444,26,54,.481,.543,16,18,.889,8,37,45,27,5,7,12,22,31,85,.365,7,22,.318,24,63,.381,.406,19,23,.826,15,28,43,23,8,2,13,23
8,8,2009-11-12,,PHO,W,121,102,,53,92,.576,8,16,.500,45,76,.592,.620,7,18,.389,8,42,50,36,5,7,15,23,38,104,.365,8,23,.348,30,81,.370,.404,18,29,.621,24,31,55,12,2,1,13,20
9,9,2009-11-13,@,DEN,L,79,105,,31,89,.348,7,25,.280,24,64,.375,.388,10,16,.625,16,33,49,19,5,5,18,25,37,85,.435,6,16,.375,31,69,.449,.471,25,29,.862,9,38,47,28,9,3,10,18
10,10,2009-11-15,,HOU,L,91,101,,32,84,.381,7,23,.304,25,61,.410,.423,20,27,.741,6,32,38,23,10,10,13,17,38,91,.418,9,32,.281,29,59,.492,.467,16,19,.842,13,47,60,27,9,5,19,24
