Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Alexis AjinÃ§a,2010-11,22,DAL,NBA,C,10,2,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,.084,-3.4,0.5,-2.9,0.0,
J.J. Barea,2010-11,26,DAL,NBA,PG,81,2,1669,14.8,.535,.291,.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,1.9,1.4,3.2,.093,0.5,-1.0,-0.5,0.6,
Rodrigue Beaubois,2010-11,22,DAL,NBA,PG,28,26,496,11.4,.500,.372,.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,-0.4,0.7,0.2,.022,-3.2,0.5,-2.7,-0.1,
Corey Brewer,2010-11,24,DAL,NBA,SG,13,2,148,17.6,.573,.255,.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,0.3,0.3,0.5,.163,-0.8,2.6,1.8,0.1,
Caron Butler,2010-11,30,DAL,NBA,SF,29,29,867,14.2,.523,.172,.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,0.2,1.0,1.2,.067,-0.8,0.0,-0.9,0.2,
Brian Cardinal,2010-11,33,DAL,NBA,SF,56,4,618,9.7,.672,.870,.180,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,1.0,0.7,1.7,.132,-1.2,2.4,1.2,0.5,
Tyson Chandler,2010-11,28,DAL,NBA,C,74,74,2059,18.4,.697,.000,.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,5.8,3.5,9.4,.218,0.6,1.0,1.5,1.8,"DPOY-3,DEF2"
Brendan Haywood,2010-11,31,DAL,NBA,C,72,8,1331,11.7,.532,.004,.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,.104,-2.5,0.6,-1.9,0.0,
Dominique Jones,2010-11,22,DAL,NBA,SG,18,0,135,10.6,.400,.089,.378,5.4,15.9,10.8,20.8,1.9,1.7,16.0,21.7,-0.2,0.2,0.0,.007,-2.5,1.6,-0.9,0.0,
Jason Kidd,2010-11,37,DAL,NBA,PG,80,80,2653,14.4,.500,.656,.129,1.6,13.4,7.7,35.4,2.7,0.8,22.1,14.3,2.5,3.9,6.4,.116,0.9,2.0,2.8,3.3,
Ian Mahinmi,2010-11,24,DAL,NBA,C,56,0,488,13.7,.645,.020,.837,10.7,17.8,14.4,2.5,1.5,2.3,15.7,15.3,1.0,0.8,1.8,.177,-3.3,1.1,-2.1,0.0,
Shawn Marion,2010-11,32,DAL,NBA,SF,80,27,2253,17.0,.551,.040,.197,9.1,19.2,14.3,8.3,1.6,1.7,12.5,21.5,2.3,3.4,5.6,.120,-0.1,0.4,0.3,1.3,
Steve Novak,2010-11,27,DAL,NBA,SF,7,0,18,19.6,.688,.500,.000,0.0,31.3,16.2,0.0,0.0,0.0,0.0,20.8,0.1,0.0,0.1,.205,5.1,0.7,5.8,0.0,
Dirk Nowitzki,2010-11,32,DAL,NBA,PF,73,73,2504,23.4,.612,.142,.376,2.4,20.8,12.0,14.2,0.8,1.4,9.1,28.2,7.8,3.3,11.1,.213,4.3,0.8,5.1,4.5,"MVP-6,AS,NBA2"
Sasha PavloviÄ,2010-11,27,DAL,NBA,SF,10,6,163,7.8,.551,.457,.143,0.0,8.3,4.3,6.3,1.6,1.4,11.8,12.1,0.0,0.2,0.2,.067,-2.8,1.2,-1.6,0.0,
DeShawn Stevenson,2010-11,29,DAL,NBA,SG,72,54,1158,9.8,.549,.755,.130,2.1,8.4,5.4,10.0,1.0,0.3,11.2,15.9,0.8,1.0,1.8,.074,-0.1,-0.3,-0.4,0.5,
Peja StojakoviÄ,2010-11,33,DAL,NBA,SF,25,13,506,14.1,.563,.571,.087,3.4,11.6,7.6,7.0,1.1,0.3,5.4,18.7,0.7,0.5,1.2,.118,1.5,-0.3,1.3,0.4,
Jason Terry,2010-11,33,DAL,NBA,SG,82,10,2564,15.9,.545,.322,.196,1.1,5.7,3.5,22.2,1.9,0.4,12.4,24.7,2.8,2.5,5.3,.100,1.0,-0.1,0.9,1.9,6MOY-2
