Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2010-10-27,,CHA,W,101,86,,41,75,.547,4,15,.267,37,60,.617,.573,15,18,.833,7,34,41,29,12,5,17,18,29,73,.397,5,13,.385,24,60,.400,.432,23,24,.958,8,28,36,22,8,3,21,15
2,2,2010-10-29,,MEM,L,90,91,,34,72,.472,6,18,.333,28,54,.519,.514,16,24,.667,8,37,45,24,7,6,20,22,31,80,.388,4,15,.267,27,65,.415,.413,25,36,.694,14,31,45,17,12,3,13,24
3,3,2010-10-31,@,LAC,W,99,83,,36,77,.468,7,16,.438,29,61,.475,.513,20,29,.690,8,33,41,23,7,7,14,22,28,82,.341,4,21,.190,24,61,.393,.366,23,31,.742,15,33,48,17,7,3,17,23
4,4,2010-11-03,@,DEN,W,102,101,,39,84,.464,7,15,.467,32,69,.464,.506,17,19,.895,12,33,45,22,6,5,14,17,41,89,.461,10,28,.357,31,61,.508,.517,9,12,.750,13,26,39,25,7,3,12,21
5,5,2010-11-06,,DEN,L,92,103,,34,76,.447,4,15,.267,30,61,.492,.474,20,26,.769,11,35,46,12,7,5,21,16,37,82,.451,13,21,.619,24,61,.393,.530,16,21,.762,9,29,38,21,16,2,12,17
6,6,2010-11-08,,BOS,W,89,87,,33,66,.500,6,15,.400,27,51,.529,.545,17,20,.850,4,34,38,20,6,8,19,12,38,91,.418,4,8,.500,34,83,.410,.440,7,7,1.000,14,28,42,24,11,2,13,21
7,7,2010-11-10,@,MEM,W,106,91,,46,85,.541,9,25,.360,37,60,.617,.594,5,11,.455,11,38,49,30,8,5,10,19,38,84,.452,4,14,.286,34,70,.486,.476,11,19,.579,12,28,40,20,4,3,12,10
8,8,2010-11-12,,PHI,W,99,90,,35,79,.443,6,22,.273,29,57,.509,.481,23,29,.793,16,31,47,19,10,4,10,20,37,83,.446,2,16,.125,35,67,.522,.458,14,23,.609,14,28,42,22,6,3,13,22
9,9,2010-11-15,,NOH,W,98,95,,34,69,.493,11,27,.407,23,42,.548,.572,19,27,.704,8,30,38,21,3,3,15,18,34,77,.442,11,25,.440,23,52,.442,.513,16,24,.667,12,30,42,20,9,3,13,26
10,10,2010-11-17,@,NOH,L,97,99,,35,69,.507,7,18,.389,28,51,.549,.558,20,23,.870,4,31,35,27,4,6,15,22,40,82,.488,8,14,.571,32,68,.471,.537,11,16,.688,7,24,31,23,8,4,10,22
