Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Joel Anthony,2011-12,29,MIA,NBA,C,64,51,1349,10.3,.598,.000,.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,1.2,2.2,3.4,.122,-2.0,1.6,-0.5,0.5,
Shane Battier,2011-12,33,MIA,NBA,SF,65,10,1499,9.7,.504,.627,.127,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,1.2,2.1,3.3,.104,-0.7,1.6,0.9,1.1,
Chris Bosh,2011-12,27,MIA,NBA,PF,57,57,2007,18.9,.551,.043,.346,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,3.6,3.3,6.9,.165,1.0,-0.2,0.8,1.4,AS
Mario Chalmers,2011-12,25,MIA,NBA,PG,64,64,1825,12.9,.578,.522,.203,1.1,9.8,5.6,19.0,2.8,0.5,20.7,17.4,1.5,2.8,4.3,.112,-0.8,1.2,0.4,1.1,
Norris Cole,2011-12,23,MIA,NBA,PG,65,2,1260,7.9,.452,.169,.189,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,-1.4,1.4,0.0,.000,-4.9,-1.4,-6.3,-1.4,
Eddy Curry,2011-12,29,MIA,NBA,C,14,1,83,3.6,.508,.000,.308,6.0,11.1,8.6,1.9,0.0,2.0,25.3,22.1,-0.2,0.1,-0.1,-0.046,-9.4,-2.3,-11.8,-0.2,
Mickell Gladness,2011-12,25,MIA,NBA,PF,8,0,28,1.8,.333,.000,.000,4.4,41.1,23.5,9.8,1.9,2.9,50.0,9.9,-0.1,0.1,0.0,-0.004,-9.4,2.8,-6.6,0.0,
Terrel Harris,2011-12,24,MIA,NBA,SG,22,1,318,6.7,.434,.470,.253,7.0,11.9,9.6,12.2,1.5,0.5,21.3,17.1,-0.3,0.4,0.1,.011,-4.4,-0.7,-5.1,-0.3,
Udonis Haslem,2011-12,31,MIA,NBA,PF,64,10,1589,10.9,.479,.000,.286,9.1,25.6,17.7,4.0,1.2,1.2,13.0,13.5,0.7,2.8,3.5,.106,-2.2,-0.2,-2.4,-0.2,
Juwan Howard,2011-12,38,MIA,NBA,PF,28,0,190,3.6,.354,.000,.182,11.8,17.6,14.8,7.8,1.1,0.4,25.2,19.4,-0.6,0.3,-0.3,-0.076,-7.0,-1.9,-8.9,-0.3,
LeBron James,2011-12,27,MIA,NBA,SF,62,62,2326,30.7,.605,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,.298,8.2,2.7,10.9,7.6,"MVP-1,DPOY-4,AS,NBA1,DEF1"
James Jones,2011-12,31,MIA,NBA,SG,51,10,666,9.7,.567,.760,.200,1.1,7.4,4.4,4.2,1.3,1.1,5.8,12.1,0.9,0.7,1.7,.120,-0.4,0.4,0.0,0.3,
Mike Miller,2011-12,31,MIA,NBA,SG,39,2,752,11.4,.561,.560,.024,3.6,16.2,10.2,8.7,1.0,0.6,12.4,14.9,0.8,1.0,1.8,.113,0.3,-0.2,0.1,0.4,
Dexter Pittman,2011-12,23,MIA,NBA,C,35,6,301,10.4,.498,.000,.298,11.1,16.8,14.1,4.9,1.4,2.2,13.8,19.0,0.1,0.5,0.6,.101,-5.9,-0.1,-6.0,-0.3,
Ronny Turiaf,2011-12,29,MIA,NBA,C,13,5,221,12.6,.567,.033,.733,10.7,20.3,15.7,3.3,1.9,5.1,16.8,10.0,0.3,0.5,0.7,.158,-2.3,1.7,-0.6,0.1,
Dwyane Wade,2011-12,30,MIA,NBA,SG,49,49,1625,26.3,.559,.067,.355,5.6,11.6,8.7,27.3,2.7,3.1,11.8,31.3,4.8,2.9,7.7,.227,6.0,1.9,7.9,4.0,"MVP-10,DPOY-18,AS,NBA3"
