Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2017-10-17,,HOU,L,121,122,,43,80,.538,16,30,.533,27,50,.540,.638,19,21,.905,6,35,41,34,5,9,17,25,47,97,.485,15,41,.366,32,56,.571,.562,13,19,.684,10,33,43,28,9,5,13,16
2,2,2017-10-20,@,NOP,W,128,120,,47,92,.511,18,40,.450,29,52,.558,.609,16,20,.800,10,39,49,29,6,8,18,23,45,98,.459,16,36,.444,29,62,.468,.541,14,22,.636,16,35,51,26,8,4,19,19
3,3,2017-10-21,@,MEM,L,101,111,,33,84,.393,12,38,.316,21,46,.457,.464,23,27,.852,12,34,46,20,10,7,17,28,36,77,.468,10,27,.370,26,50,.520,.532,29,37,.784,6,34,40,20,8,4,14,25
4,4,2017-10-23,@,DAL,W,133,103,,48,86,.558,15,39,.385,33,47,.702,.645,22,26,.846,10,40,50,33,6,8,16,23,38,96,.396,9,29,.310,29,67,.433,.443,18,30,.600,14,28,42,21,11,0,12,20
5,5,2017-10-25,,TOR,W,117,112,,43,77,.558,12,26,.462,31,51,.608,.636,19,22,.864,6,31,37,32,10,7,17,15,43,94,.457,8,34,.235,35,60,.583,.500,18,19,.947,17,25,42,30,10,6,18,16
6,6,2017-10-27,,WAS,W,120,117,,46,95,.484,10,38,.263,36,57,.632,.537,18,20,.900,15,38,53,33,7,13,18,20,43,97,.443,15,33,.455,28,64,.438,.521,16,22,.727,12,29,41,30,7,6,15,21
7,7,2017-10-29,,DET,L,107,115,,44,77,.571,10,27,.370,34,50,.680,.636,9,12,.750,10,30,40,29,3,11,26,14,43,93,.462,12,27,.444,31,66,.470,.527,17,17,1.000,17,20,37,22,16,0,14,9
8,8,2017-10-30,@,LAC,W,141,113,,52,89,.584,14,29,.483,38,60,.633,.663,23,30,.767,14,32,46,37,8,8,12,23,39,86,.453,10,25,.400,29,61,.475,.512,25,30,.833,9,26,35,21,4,3,14,20
9,9,2017-11-02,@,SAS,W,112,92,,43,83,.518,14,28,.500,29,55,.527,.602,12,16,.750,5,36,41,30,11,12,14,20,34,87,.391,7,24,.292,27,63,.429,.431,17,23,.739,14,32,46,19,6,8,19,10
10,10,2017-11-04,@,DEN,W,127,108,,50,91,.549,18,40,.450,32,51,.627,.648,9,17,.529,7,34,41,38,13,4,15,23,40,87,.460,6,24,.250,34,63,.540,.494,22,27,.815,9,37,46,26,9,6,18,18
