Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
OG Anunoby,2018-19,21,TOR,NBA,SF,67,6,1352,9.8,.544,.500,.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2.0,.070,-2.4,0.1,-2.4,-0.1,
Chris Boucher,2018-19,26,TOR,NBA,PF,28,0,163,22.2,.563,.487,.197,10.9,25.8,18.5,1.9,1.8,12.2,7.8,23.6,0.2,0.4,0.7,.194,-0.2,2.8,2.6,0.2,
Lorenzo Brown,2018-19,28,TOR,NBA,PG,26,0,212,6.3,.380,.394,.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,-0.5,0.3,-0.1,-0.027,-5.4,1.9,-3.5,-0.1,
Marc Gasol,2018-19,34,TOR,NBA,C,26,19,648,16.0,.565,.278,.278,4.1,24.0,14.3,21.2,1.8,2.9,14.6,16.3,0.9,1.2,2.1,.157,0.1,2.8,2.9,0.8,
Danny Green,2018-19,31,TOR,NBA,SG,80,80,2216,13.0,.632,.690,.070,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,.128,1.1,0.8,2.0,2.2,
Serge Ibaka,2018-19,29,TOR,NBA,C,74,51,2010,18.7,.582,.193,.202,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,2.8,3.3,6.1,.146,0.2,0.1,0.2,1.2,
Kawhi Leonard,2018-19,27,TOR,NBA,SF,60,60,2040,25.8,.606,.267,.377,4.2,18.6,11.6,16.4,2.5,1.0,8.4,30.3,6.1,3.4,9.5,.224,6.1,1.1,7.2,4.7,"MVP-9,DPOY-6,AS,NBA2,DEF2"
Jeremy Lin,2018-19,30,TOR,NBA,PG,23,3,433,8.2,.464,.355,.271,1.5,13.1,7.5,15.7,1.0,1.1,13.0,19.8,-0.3,0.5,0.2,.020,-5.4,-0.6,-6.0,-0.4,
Kyle Lowry,2018-19,32,TOR,NBA,PG,65,65,2213,16.5,.562,.613,.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,3.6,3.0,6.6,.144,1.7,0.6,2.3,2.4,AS
Jordan Loyd,2018-19,25,TOR,NBA,PG,12,0,55,16.3,.635,.444,.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,0.2,0.0,0.2,.190,0.0,-0.9,-1.0,0.0,
Patrick McCaw,2018-19,23,TOR,NBA,SG,26,1,344,8.7,.569,.444,.278,2.3,11.6,7.1,9.8,2.9,0.5,18.8,9.3,0.2,0.5,0.7,.096,-4.4,2.7,-1.7,0.0,
Jodie Meeks,2018-19,31,TOR,NBA,SG,8,0,104,16.0,.647,.462,.026,1.1,11.1,6.2,11.5,0.5,0.8,4.8,17.1,0.2,0.1,0.3,.153,1.4,-0.8,0.5,0.1,
C.J. Miles,2018-19,31,TOR,NBA,SF,40,1,562,8.0,.484,.665,.214,2.4,10.5,6.5,5.2,1.5,1.5,8.5,18.8,-0.3,0.7,0.4,.035,-3.2,-0.4,-3.6,-0.2,
Malcolm Miller,2018-19,25,TOR,NBA,SF,10,0,67,13.7,.630,.808,.154,1.7,6.3,4.0,2.1,0.7,1.2,3.5,18.5,0.1,0.1,0.2,.130,1.2,-1.6,-0.5,0.0,
Greg Monroe,2018-19,28,TOR,NBA,C,38,2,423,13.5,.487,.025,.379,15.7,23.8,19.9,5.4,1.5,1.6,14.2,22.2,-0.1,0.7,0.6,.071,-3.5,-1.4,-5.0,-0.3,
Eric Moreland,2018-19,27,TOR,NBA,PF,4,0,38,7.1,.500,.143,.000,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,-0.1,0.1,0.0,.026,-6.7,2.3,-4.5,0.0,
Norman Powell,2018-19,25,TOR,NBA,SG,60,3,1126,13.3,.596,.425,.188,1.6,11.5,6.7,11.6,1.7,1.0,13.1,19.0,1.0,1.4,2.4,.102,-0.9,0.2,-0.7,0.4,
Malachi Richardson,2018-19,23,TOR,NBA,SG,22,0,103,0.9,.481,.862,.172,2.2,11.2,6.8,0.0,0.5,0.0,20.4,16.4,-0.2,0.1,-0.1,-0.060,-6.6,-2.1,-8.8,-0.2,
Pascal Siakam,2018-19,24,TOR,NBA,PF,80,79,2548,18.7,.628,.226,.320,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,.175,1.6,0.8,2.4,2.8,MIP-1
Jonas ValanÄiÅ«nas,2018-19,26,TOR,NBA,C,30,10,564,24.4,.639,.116,.363,10.6,30.2,20.6,8.5,1.1,3.4,11.5,25.9,1.6,1.1,2.6,.224,2.3,0.8,3.2,0.7,
Fred VanVleet,2018-19,24,TOR,NBA,PG,64,28,1760,13.7,.539,.493,.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,.117,0.4,0.1,0.5,1.1,
Delon Wright,2018-19,26,TOR,NBA,PG,49,2,897,14.5,.527,.307,.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,1.0,1.3,2.3,.123,0.1,1.6,1.7,0.8,
