Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2018-10-17,,CLE,W,116,104,,45,92,.489,14,33,.424,31,59,.525,.565,12,20,.600,8,35,43,21,6,7,10,29,34,85,.400,7,19,.368,27,66,.409,.441,29,39,.744,14,35,49,17,4,0,16,25
2,2,2018-10-19,,BOS,W,113,101,,43,92,.467,13,35,.371,30,57,.526,.538,14,19,.737,12,37,49,24,3,3,13,19,40,99,.404,14,36,.389,26,63,.413,.475,7,10,.700,16,33,49,29,4,6,16,27
3,3,2018-10-20,@,WAS,W,117,113,,39,88,.443,10,29,.345,29,59,.492,.500,29,36,.806,14,38,52,21,5,5,17,29,37,89,.416,13,39,.333,24,50,.480,.489,26,32,.813,9,28,37,20,11,9,11,27
4,4,2018-10-22,,CHO,W,127,106,,50,87,.575,15,39,.385,35,48,.729,.661,12,14,.857,5,41,46,36,10,8,15,21,41,97,.423,9,28,.321,32,69,.464,.469,15,18,.833,14,27,41,21,5,5,12,14
5,5,2018-10-24,,MIN,W,112,105,,46,89,.517,11,32,.344,35,57,.614,.579,9,12,.750,11,33,44,26,9,8,17,18,40,96,.417,15,30,.500,25,66,.379,.495,10,16,.625,16,28,44,25,10,5,16,17
6,6,2018-10-26,,DAL,W,116,107,,44,91,.484,11,27,.407,33,64,.516,.544,17,20,.850,12,38,50,23,10,5,13,22,38,92,.413,12,30,.400,26,62,.419,.478,19,24,.792,10,34,44,22,6,6,15,17
7,7,2018-10-29,@,MIL,L,109,124,,39,103,.379,9,45,.200,30,58,.517,.422,22,28,.786,15,36,51,25,9,7,10,19,45,92,.489,19,45,.422,26,47,.553,.592,15,19,.789,8,49,57,28,5,4,17,21
8,8,2018-10-30,,PHI,W,129,112,,47,92,.511,11,27,.407,36,65,.554,.571,24,28,.857,9,34,43,29,13,6,16,26,38,91,.418,14,40,.350,24,51,.471,.495,22,30,.733,17,30,47,25,7,5,23,24
9,9,2018-11-02,@,PHO,W,107,98,,41,81,.506,12,33,.364,29,48,.604,.580,13,21,.619,6,33,39,29,11,10,14,23,40,91,.440,8,26,.308,32,65,.492,.484,10,18,.556,12,37,49,20,3,4,16,18
10,10,2018-11-04,@,LAL,W,121,107,,49,98,.500,10,35,.286,39,63,.619,.551,13,14,.929,13,36,49,32,9,4,13,24,39,85,.459,6,24,.250,33,61,.541,.494,23,29,.793,6,32,38,25,6,4,16,18
11,11,2018-11-05,@,UTA,W,124,111,,49,86,.570,13,33,.394,36,53,.679,.645,13,14,.929,7,36,43,21,9,3,15,28,38,86,.442,8,31,.258,30,55,.545,.488,27,41,.659,12,28,40,29,10,4,12,19
12,12,2018-11-07,@,SAC,W,114,105,,41,89,.461,11,36,.306,30,53,.566,.522,21,23,.913,13,40,53,17,10,4,22,20,42,88,.477,8,23,.348,34,65,.523,.523,13,18,.722,6,25,31,27,10,5,15,26
13,13,2018-11-10,,NYK,W,128,112,,42,79,.532,14,35,.400,28,44,.636,.620,30,40,.750,12,34,46,24,8,4,15,20,44,96,.458,6,22,.273,38,74,.514,.490,18,22,.818,16,31,47,18,12,6,14,26
14,14,2018-11-12,,NOP,L,110,126,,39,97,.402,13,45,.289,26,52,.500,.469,19,22,.864,13,30,43,22,9,5,11,20,54,99,.545,10,27,.370,44,72,.611,.596,8,13,.615,14,40,54,30,2,4,13,20
15,15,2018-11-14,,DET,L,104,106,,45,92,.489,4,20,.200,41,72,.569,.511,10,17,.588,12,37,49,23,9,3,20,19,44,91,.484,10,33,.303,34,58,.586,.538,8,13,.615,7,32,39,24,8,5,18,24
16,16,2018-11-16,@,BOS,L,116,123,OT,42,97,.433,8,29,.276,34,68,.500,.474,24,29,.828,11,32,43,20,12,4,14,23,47,89,.528,9,26,.346,38,63,.603,.579,20,24,.833,9,37,46,25,9,6,18,23
17,17,2018-11-17,@,CHI,W,122,83,,48,89,.539,14,35,.400,34,54,.630,.618,12,13,.923,8,46,54,31,14,10,23,24,30,86,.349,8,27,.296,22,59,.373,.395,15,21,.714,7,27,34,21,13,3,22,19
