Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Jaylen Adams,2020-21,24,MIL,NBA,PG,7,0,18,-6.5,.125,.250,.000,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,
Giannis Antetokounmpo,2020-21,26,MIL,NBA,PF,61,61,2013,29.2,.633,.201,.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,.244,6.2,2.8,9.0,5.6,"MVP-4,DPOY-5,AS,NBA1,DEF1"
Thanasis Antetokounmpo,2020-21,28,MIL,NBA,SF,57,3,551,10.3,.523,.212,.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,.057,-3.7,0.2,-3.5,-0.2,
D.J. Augustin,2020-21,33,MIL,NBA,PG,37,6,713,10.2,.542,.672,.208,1.7,5.5,3.7,18.6,1.3,0.1,14.0,14.3,0.8,0.4,1.2,.080,-1.3,-0.9,-2.2,0.0,
Elijah Bryant,2020-21,25,MIL,NBA,SG,1,0,32,10.6,.559,.385,.231,6.8,12.7,9.9,12.6,0.0,2.8,21.8,24.0,0.0,0.0,0.0,.008,-3.9,-3.4,-7.3,0.0,
Pat Connaughton,2020-21,28,MIL,NBA,SG,69,4,1575,11.3,.578,.703,.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,.108,-0.5,0.5,0.0,0.8,
Torrey Craig,2020-21,30,MIL,NBA,SF,18,0,201,10.3,.480,.478,.043,7.1,15.1,11.2,9.5,2.1,3.1,9.6,10.8,0.1,0.3,0.4,.097,-2.2,1.6,-0.6,0.1,
Mamadi Diakite,2020-21,24,MIL,NBA,PF,14,1,141,12.3,.477,.200,.350,6.2,18.7,12.7,7.0,2.3,3.8,6.1,14.6,0.1,0.2,0.3,.102,-3.3,0.9,-2.4,0.0,
Donte DiVincenzo,2020-21,24,MIL,NBA,SG,66,66,1814,13.0,.542,.574,.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,1.5,2.1,3.6,.095,-0.2,0.4,0.2,1.0,
Bryn Forbes,2020-21,27,MIL,NBA,SG,70,10,1354,12.8,.631,.645,.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,.096,0.4,-1.7,-1.3,0.2,
Jrue Holiday,2020-21,30,MIL,NBA,PG,59,56,1907,20.0,.592,.344,.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,4.3,2.2,6.6,.165,2.8,0.6,3.4,2.6,"DPOY-8,DEF1"
Justin Jackson,2020-21,25,MIL,NBA,SF,1,0,33,5.8,.455,.667,.222,6.6,12.3,9.6,3.6,0.0,0.0,9.2,13.8,0.0,0.0,0.0,.006,-3.2,-4.8,-8.0,0.0,
Rodions Kurucs,2020-21,22,MIL,NBA,SF,5,0,34,17.9,.845,.500,.250,9.6,17.9,13.9,15.0,4.1,0.0,31.1,15.9,0.1,0.1,0.1,.199,-0.9,3.1,2.2,0.0,
Brook Lopez,2020-21,32,MIL,NBA,C,70,70,1902,15.4,.611,.439,.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,3.1,2.2,5.3,.133,0.0,0.0,0.0,0.9,
Sam Merrill,2020-21,24,MIL,NBA,SG,30,2,233,11.9,.603,.653,.056,2.8,10.4,6.8,11.4,1.6,0.4,11.9,15.0,0.3,0.2,0.5,.102,-0.7,-0.3,-1.0,0.1,
Khris Middleton,2020-21,29,MIL,NBA,SF,68,68,2269,18.2,.588,.340,.220,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,4.1,2.2,6.4,.135,1.7,-0.3,1.3,1.9,
Jordan Nwora,2020-21,22,MIL,NBA,SF,30,2,274,16.1,.586,.459,.185,3.6,18.9,11.5,3.6,2.7,2.3,14.1,26.0,0.0,0.4,0.4,.068,-0.7,-0.4,-1.1,0.1,
Bobby Portis,2020-21,25,MIL,NBA,C,66,7,1372,19.9,.598,.263,.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,2.8,2.0,4.8,.167,1.8,-0.4,1.5,1.2,6MOY-9
Jeff Teague,2020-21,32,MIL,NBA,PG,21,2,334,14.1,.598,.271,.458,1.6,7.9,4.9,22.2,1.1,1.3,17.8,17.6,0.5,0.2,0.8,.110,-0.5,-1.0,-1.4,0.1,
Axel Toupane,2020-21,28,MIL,NBA,SF,8,1,61,9.0,.497,.182,.636,0.0,10.0,5.2,7.6,1.5,4.4,0.0,9.7,0.1,0.1,0.1,.097,-4.1,1.1,-3.0,0.0,
P.J. Tucker,2020-21,35,MIL,NBA,PF,20,1,397,5.7,.539,.717,.109,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,0.2,0.3,0.5,.065,-2.9,0.0,-2.9,-0.1,
D.J. Wilson,2020-21,24,MIL,NBA,PF,12,0,105,8.4,.490,.651,.047,3.1,21.3,12.5,3.7,0.4,3.4,8.4,19.1,-0.1,0.1,0.0,.022,-3.7,-1.4,-5.1,-0.1,
