Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2020-12-23,@,BOS,L,121,122,,46,90,.511,14,35,.400,32,55,.582,.589,15,18,.833,11,41,52,19,4,6,16,20,48,101,.475,18,40,.450,30,61,.492,.564,8,11,.727,10,27,37,23,8,6,7,17
2,2,2020-12-25,,GSW,W,138,99,,50,90,.556,20,36,.556,30,54,.556,.667,18,26,.692,11,49,60,25,6,4,18,17,34,99,.343,10,45,.222,24,54,.444,.394,21,25,.840,10,33,43,14,5,6,11,22
3,3,2020-12-27,@,NYK,L,110,130,,41,95,.432,7,38,.184,34,57,.596,.468,21,29,.724,17,27,44,24,7,5,11,21,46,85,.541,16,27,.593,30,58,.517,.635,22,27,.815,8,38,46,27,5,4,16,23
4,4,2020-12-29,@,MIA,W,144,97,,51,92,.554,29,51,.569,22,41,.537,.712,13,15,.867,10,35,45,32,14,2,17,22,37,79,.468,11,37,.297,26,42,.619,.538,12,18,.667,3,27,30,23,9,6,22,18
5,5,2020-12-30,@,MIA,L,108,119,,40,102,.392,16,41,.390,24,61,.393,.471,12,13,.923,16,31,47,26,14,6,13,25,40,82,.488,15,39,.385,25,43,.581,.579,24,29,.828,10,42,52,25,5,5,22,18
6,6,2021-01-01,,CHI,W,126,96,,42,85,.494,22,45,.489,20,40,.500,.624,20,30,.667,5,39,44,27,16,6,17,19,38,87,.437,6,26,.231,32,61,.525,.471,14,20,.700,6,36,42,18,10,6,21,21
7,7,2021-01-04,,DET,W,125,115,,49,85,.576,14,34,.412,35,51,.686,.659,13,16,.813,7,42,49,32,6,4,19,18,43,98,.439,17,40,.425,26,58,.448,.526,12,12,1.000,6,25,31,27,9,5,9,17
8,8,2021-01-06,,DET,W,130,115,,49,90,.544,19,43,.442,30,47,.638,.650,13,21,.619,9,38,47,35,5,4,14,22,38,97,.392,13,41,.317,25,56,.446,.459,26,30,.867,15,32,47,20,6,3,9,20
9,9,2021-01-08,,UTA,L,118,131,,44,98,.449,13,42,.310,31,56,.554,.515,17,21,.810,9,36,45,18,5,5,12,19,49,97,.505,25,53,.472,24,44,.545,.634,8,13,.615,10,40,50,31,6,8,10,18
10,10,2021-01-09,,CLE,W,100,90,,37,84,.440,12,36,.333,25,48,.521,.512,14,18,.778,11,34,45,25,11,4,16,14,36,87,.414,7,26,.269,29,61,.475,.454,11,16,.688,14,33,47,16,6,4,18,18
11,11,2021-01-11,@,ORL,W,121,99,,46,91,.505,13,35,.371,33,56,.589,.577,16,20,.800,11,32,43,25,15,7,15,17,39,91,.429,11,31,.355,28,60,.467,.489,10,13,.769,15,29,44,24,5,4,19,13
12,12,2021-01-13,@,DET,W,110,101,,41,85,.482,19,43,.442,22,42,.524,.594,9,14,.643,10,38,48,31,10,9,14,20,36,92,.391,14,35,.400,22,57,.386,.467,15,22,.682,13,34,47,25,8,3,16,19
13,13,2021-01-15,,DAL,W,112,109,,43,96,.448,14,37,.378,29,59,.492,.521,12,25,.480,16,41,57,22,5,3,11,14,45,97,.464,13,36,.361,32,61,.525,.531,6,13,.462,11,40,51,22,5,6,9,23
14,14,2021-01-18,@,BRK,L,123,125,,46,105,.438,11,38,.289,35,67,.522,.490,20,24,.833,11,30,41,21,9,2,6,15,46,84,.548,15,31,.484,31,53,.585,.637,18,21,.857,7,42,49,26,2,5,17,19
