Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2022-10-19,@,UTA,L,102,123,,40,83,.482,5,22,.227,35,61,.574,.512,17,18,.944,10,25,35,21,10,3,21,23,42,83,.506,16,38,.421,26,45,.578,.602,23,31,.742,11,32,43,27,10,1,20,21
2,2,2022-10-21,@,GSW,W,128,123,,46,86,.535,15,34,.441,31,52,.596,.622,21,25,.840,12,29,41,30,10,2,20,22,42,88,.477,15,44,.341,27,44,.614,.563,24,27,.889,7,28,35,34,10,3,19,23
3,3,2022-10-22,,OKC,W,122,117,,42,85,.494,20,38,.526,22,47,.468,.612,18,31,.581,9,37,46,33,5,6,18,21,42,94,.447,15,38,.395,27,56,.482,.527,18,23,.783,10,37,47,29,10,5,13,27
4,4,2022-10-24,@,POR,L,110,135,,45,91,.495,12,31,.387,33,60,.550,.560,8,14,.571,10,28,38,28,4,1,8,28,48,83,.578,16,35,.457,32,48,.667,.675,23,31,.742,9,36,45,23,3,6,10,15
5,5,2022-10-26,,LAL,W,110,99,,42,92,.457,9,34,.265,33,58,.569,.505,17,21,.810,9,45,54,34,12,5,11,17,40,90,.444,8,30,.267,32,60,.533,.489,11,16,.688,7,40,47,25,8,4,14,16
6,6,2022-10-28,,UTA,W,117,101,,39,85,.459,17,37,.459,22,48,.458,.559,22,34,.647,17,41,58,18,2,4,12,18,38,91,.418,10,39,.256,28,52,.538,.473,15,19,.789,8,30,38,24,7,8,10,30
7,7,2022-10-30,@,LAL,L,110,121,,41,96,.427,15,40,.375,26,56,.464,.505,13,18,.722,13,35,48,24,3,8,9,15,46,96,.479,13,30,.433,33,66,.500,.547,16,20,.800,13,38,51,24,5,5,9,17
8,8,2022-11-03,@,OKC,W,122,110,,45,84,.536,18,31,.581,27,53,.509,.643,14,16,.875,8,39,47,32,5,2,20,15,45,93,.484,6,29,.207,39,64,.609,.516,14,19,.737,10,30,40,19,9,5,10,19
9,9,2022-11-05,,SAS,W,126,101,,53,87,.609,15,29,.517,38,58,.655,.695,5,10,.500,10,37,47,37,10,0,18,15,39,80,.488,12,30,.400,27,50,.540,.563,11,19,.579,6,22,28,28,8,3,15,13
10,10,2022-11-07,@,SAS,W,115,109,,47,88,.534,8,24,.333,39,64,.609,.580,13,20,.650,8,32,40,33,14,7,22,14,43,82,.524,12,33,.364,31,49,.633,.598,11,18,.611,10,28,38,31,14,5,24,17
11,11,2022-11-09,@,IND,W,122,119,,43,88,.489,12,28,.429,31,60,.517,.557,24,26,.923,11,36,47,27,10,7,22,15,45,96,.469,14,42,.333,31,54,.574,.542,15,19,.789,11,33,44,28,9,5,18,23
12,12,2022-11-11,@,BOS,L,112,131,,42,92,.457,12,29,.414,30,63,.476,.522,16,20,.800,11,27,38,26,3,1,6,16,50,90,.556,16,37,.432,34,53,.642,.644,15,20,.750,10,36,46,30,3,5,7,19
13,13,2022-11-13,@,CHI,W,126,103,,48,80,.600,13,27,.481,35,53,.660,.681,17,21,.810,5,31,36,33,11,3,16,17,40,81,.494,6,22,.273,34,59,.576,.531,17,21,.810,8,28,36,24,9,4,19,19
14,14,2022-11-16,,NYK,L,103,106,,36,82,.439,14,38,.368,22,44,.500,.524,17,20,.850,8,34,42,18,3,5,15,25,37,84,.440,8,34,.235,29,50,.580,.488,24,31,.774,6,34,40,24,12,5,8,18
15,15,2022-11-18,@,DAL,L,99,127,,38,90,.422,10,30,.333,28,60,.467,.478,13,18,.722,13,23,36,24,4,1,13,20,46,77,.597,13,32,.406,33,45,.733,.682,22,28,.786,6,38,44,29,5,3,10,19
16,16,2022-11-20,@,DAL,W,98,97,,37,78,.474,9,27,.333,28,51,.549,.532,15,19,.789,4,40,44,22,10,5,16,20,35,78,.449,15,42,.357,20,36,.556,.545,12,21,.571,6,30,36,24,5,3,13,18
17,17,2022-11-22,,DET,L,108,110,,43,86,.500,5,19,.263,38,67,.567,.529,17,26,.654,15,27,42,28,7,8,18,21,45,88,.511,8,28,.286,37,60,.617,.557,12,14,.857,12,28,40,27,7,5,16,24
18,18,2022-11-23,@,OKC,W,131,126,OT,42,88,.477,14,38,.368,28,50,.560,.557,33,41,.805,17,38,55,31,4,8,19,24,42,97,.433,18,40,.450,24,57,.421,.526,24,28,.857,12,27,39,26,6,7,10,27
19,19,2022-11-25,@,LAC,W,114,104,,44,89,.494,10,30,.333,34,59,.576,.551,16,23,.696,10,27,37,27,9,5,6,24,37,68,.544,11,22,.500,26,46,.565,.625,19,34,.559,4,29,33,22,1,5,14,20
20,20,2022-11-28,,HOU,W,129,113,,50,88,.568,12,30,.400,38,58,.655,.636,17,20,.850,13,30,43,31,8,4,14,22,39,85,.459,16,44,.364,23,41,.561,.553,19,25,.760,12,25,37,25,4,2,17,20
21,21,2022-11-30,,HOU,W,120,100,,44,83,.530,17,32,.531,27,51,.529,.633,15,20,.750,8,34,42,30,6,8,12,21,37,88,.420,12,41,.293,25,47,.532,.489,14,18,.778,10,29,39,18,5,6,14,20
22,22,2022-12-02,@,ATL,L,109,117,,45,85,.529,12,32,.375,33,53,.623,.600,7,13,.538,9,24,33,31,8,0,16,12,49,88,.557,10,28,.357,39,60,.650,.614,9,14,.643,12,31,43,24,7,3,12,14
