Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2023-10-25,@,NYK,W,108,104,,37,77,.481,12,39,.308,25,38,.658,.558,22,26,.846,7,39,46,18,6,11,13,22,36,97,.371,18,41,.439,18,56,.321,.464,14,26,.538,17,30,47,24,9,0,11,22
2,2,2023-10-27,,MIA,W,119,111,,45,95,.474,16,39,.410,29,56,.518,.558,13,19,.684,16,39,55,20,7,6,15,19,38,89,.427,16,33,.485,22,56,.393,.517,19,23,.826,11,34,45,24,8,6,12,16
3,3,2023-10-30,@,WAS,W,126,107,,51,102,.500,19,53,.358,32,49,.653,.593,5,7,.714,15,36,51,31,11,6,18,21,39,87,.448,11,36,.306,28,51,.549,.511,18,26,.692,11,29,40,26,12,4,15,13
4,4,2023-11-01,,IND,W,155,104,,54,95,.568,20,35,.571,34,60,.567,.674,27,28,.964,11,46,57,27,5,2,13,19,46,101,.455,5,37,.135,41,64,.641,.480,7,12,.583,8,23,31,26,6,6,9,20
5,5,2023-11-04,@,BRK,W,124,114,,43,90,.478,15,45,.333,28,45,.622,.561,23,27,.852,10,40,50,22,4,6,11,17,43,100,.430,17,52,.327,26,48,.542,.515,11,17,.647,10,32,42,22,4,5,6,21
6,6,2023-11-06,@,MIN,L,109,114,OT,36,92,.391,11,39,.282,25,53,.472,.451,26,34,.765,11,34,45,20,13,2,18,26,44,85,.518,13,37,.351,31,48,.646,.594,13,25,.520,6,39,45,26,7,5,24,26
7,7,2023-11-08,@,PHI,L,103,106,,36,91,.396,15,47,.319,21,44,.477,.478,16,19,.842,9,34,43,28,8,6,13,13,42,95,.442,9,34,.265,33,61,.541,.489,13,15,.867,12,44,56,20,7,7,14,16
8,8,2023-11-10,,BRK,W,121,107,,41,94,.436,19,52,.365,22,42,.524,.537,20,28,.714,17,35,52,29,5,3,8,13,38,85,.447,15,37,.405,23,48,.479,.535,16,18,.889,9,37,46,26,0,3,12,25
9,9,2023-11-11,,TOR,W,117,94,,47,86,.547,15,44,.341,32,42,.762,.634,8,13,.615,5,41,46,30,1,4,13,14,35,91,.385,10,37,.270,25,54,.463,.440,14,16,.875,7,30,37,25,8,1,9,14
10,10,2023-11-13,,NYK,W,114,98,,40,79,.506,19,43,.442,21,36,.583,.627,15,16,.938,8,29,37,27,3,3,11,22,33,79,.418,15,35,.429,18,44,.409,.513,17,24,.708,12,25,37,17,5,2,12,16
11,11,2023-11-15,@,PHI,W,117,107,,42,88,.477,18,50,.360,24,38,.632,.580,15,19,.789,12,33,45,23,7,8,10,15,39,85,.459,11,30,.367,28,55,.509,.524,18,22,.818,10,31,41,18,5,1,9,14
12,12,2023-11-17,@,TOR,W,108,105,,42,92,.457,16,46,.348,26,46,.565,.543,8,9,.889,8,36,44,29,5,4,11,13,42,87,.483,12,33,.364,30,54,.556,.552,9,14,.643,5,36,41,29,4,1,13,11
13,13,2023-11-19,@,MEM,W,102,100,,35,77,.455,12,31,.387,23,46,.500,.532,20,25,.800,9,36,45,20,6,10,17,19,37,95,.389,17,44,.386,20,51,.392,.479,9,10,.900,14,28,42,28,7,5,11,21
14,14,2023-11-20,@,CHO,L,118,121,OT,42,97,.433,16,50,.320,26,47,.553,.515,18,28,.643,11,37,48,19,6,8,15,15,46,104,.442,13,39,.333,33,65,.508,.505,16,17,.941,17,40,57,29,9,7,13,18
15,15,2023-11-22,,MIL,W,119,116,,44,84,.524,17,42,.405,27,42,.643,.625,14,17,.824,4,39,43,27,3,5,15,15,45,101,.446,13,34,.382,32,67,.478,.510,13,17,.765,13,34,47,23,9,2,9,19
16,16,2023-11-24,@,ORL,L,96,113,,31,76,.408,7,29,.241,24,47,.511,.454,27,37,.730,4,27,31,17,10,4,15,18,43,85,.506,11,28,.393,32,57,.561,.571,16,22,.727,13,35,48,23,5,3,18,28
17,17,2023-11-26,,ATL,W,113,103,,42,95,.442,13,47,.277,29,48,.604,.511,16,20,.800,18,40,58,24,9,3,13,19,36,88,.409,19,53,.358,17,35,.486,.517,12,19,.632,11,32,43,15,5,4,16,17
18,18,2023-11-28,,CHI,W,124,97,,47,90,.522,21,49,.429,26,41,.634,.639,9,12,.750,11,41,52,36,6,9,16,18,39,90,.433,9,28,.321,30,62,.484,.483,10,18,.556,9,28,37,25,11,7,8,13
19,19,2023-12-01,,PHI,W,125,119,,39,77,.506,16,33,.485,23,44,.523,.610,31,36,.861,10,36,46,25,10,8,20,18,43,94,.457,16,35,.457,27,59,.458,.543,17,23,.739,15,27,42,16,16,5,16,24
20,20,2023-12-04,@,IND,L,112,122,,46,97,.474,12,41,.293,34,56,.607,.536,8,12,.667,13,43,56,27,5,9,18,19,43,94,.457,19,40,.475,24,54,.444,.559,17,21,.810,7,34,41,28,8,4,6,15
21,21,2023-12-08,,NYK,W,133,123,,48,91,.527,19,47,.404,29,44,.659,.632,18,21,.857,8,26,34,24,8,5,8,19,44,88,.500,15,37,.405,29,51,.569,.585,20,27,.741,12,32,44,28,4,3,14,20
22,22,2023-12-12,,CLE,W,120,113,,38,84,.452,18,44,.409,20,40,.500,.560,26,26,1.000,12,33,45,23,9,9,15,13,44,92,.478,19,45,.422,25,47,.532,.582,6,9,.667,6,29,35,27,6,4,13,18
23,23,2023-12-14,,CLE,W,116,107,,43,85,.506,13,36,.361,30,49,.612,.582,17,20,.850,13,31,44,22,7,8,13,15,40,83,.482,11,33,.333,29,50,.580,.548,16,17,.941,9,30,39,21,7,1,16,18
24,24,2023-12-15,,ORL,W,128,111,,48,92,.522,18,42,.429,30,50,.600,.620,14,20,.700,9,25,34,31,14,7,11,22,42,87,.483,14,35,.400,28,52,.538,.563,13,18,.722,13,32,45,25,5,2,21,22
25,25,2023-12-17,,ORL,W,114,97,,45,95,.474,17,36,.472,28,59,.475,.563,7,8,.875,10,45,55,18,4,10,14,19,34,89,.382,11,36,.306,23,53,.434,.444,18,24,.750,10,33,43,18,7,4,9,16
26,26,2023-12-19,@,GSW,L,126,132,OT,47,114,.412,17,58,.293,30,56,.536,.487,15,17,.882,18,37,55,28,6,5,8,13,50,109,.459,20,50,.400,30,59,.508,.550,12,14,.857,18,41,59,29,4,5,10,15
27,27,2023-12-20,@,SAC,W,144,119,,51,92,.554,22,42,.524,29,50,.580,.674,20,24,.833,14,36,50,35,6,10,9,17,43,91,.473,21,44,.477,22,47,.468,.588,12,23,.522,12,25,37,29,4,8,7,15
28,28,2023-12-23,@,LAC,W,145,108,,49,94,.521,25,53,.472,24,41,.585,.654,22,28,.786,15,36,51,33,4,5,10,19,41,89,.461,11,34,.324,30,55,.545,.522,15,15,1.000,9,25,34,25,4,4,11,24
29,29,2023-12-25,@,LAL,W,126,115,,46,91,.505,13,42,.310,33,49,.673,.577,21,28,.750,11,33,44,31,8,7,8,17,43,90,.478,13,32,.406,30,58,.517,.550,16,21,.762,13,30,43,24,4,1,12,19
30,30,2023-12-28,,DET,W,128,122,OT,48,99,.485,11,39,.282,37,60,.617,.540,21,25,.840,11,32,43,25,10,4,12,15,48,101,.475,14,43,.326,34,58,.586,.545,12,19,.632,19,38,57,27,7,4,19,21
31,31,2023-12-29,,TOR,W,120,118,,43,88,.489,17,39,.436,26,49,.531,.585,17,20,.850,13,39,52,29,3,6,16,17,44,95,.463,17,44,.386,27,51,.529,.553,13,20,.650,9,29,38,29,10,6,5,15
32,32,2023-12-31,@,SAS,W,134,101,,51,95,.537,15,42,.357,36,53,.679,.616,17,22,.773,13,44,57,29,6,7,11,12,40,94,.426,12,45,.267,28,49,.571,.489,9,12,.750,9,30,39,28,6,1,16,17
33,33,2024-01-02,@,OKC,L,123,127,,42,92,.457,15,40,.375,27,52,.519,.538,24,29,.828,17,30,47,33,7,10,14,15,48,91,.527,18,40,.450,30,51,.588,.626,13,17,.765,10,28,38,34,7,10,12,22
34,34,2024-01-05,,UTA,W,126,97,,39,90,.433,17,49,.347,22,41,.537,.528,31,36,.861,9,47,56,24,9,8,14,23,34,94,.362,6,34,.176,28,60,.467,.394,23,34,.676,16,41,57,23,11,2,18,24
35,35,2024-01-06,@,IND,W,118,101,,46,90,.511,16,41,.390,30,49,.612,.600,10,19,.526,13,43,56,26,6,6,18,20,38,92,.413,8,42,.190,30,50,.600,.457,17,22,.773,10,28,38,23,12,2,9,18
36,36,2024-01-08,@,IND,L,131,133,,47,90,.522,17,35,.486,30,55,.545,.617,20,29,.690,13,29,42,26,3,8,15,20,48,91,.527,19,40,.475,29,51,.569,.632,18,22,.818,9,30,39,29,6,7,13,23
37,37,2024-01-10,,MIN,W,127,120,OT,39,90,.433,19,47,.404,20,43,.465,.539,30,31,.968,7,39,46,21,5,4,8,19,44,95,.463,14,34,.412,30,61,.492,.537,18,20,.900,8,39,47,22,4,6,9,27
38,38,2024-01-11,@,MIL,L,102,135,,34,91,.374,9,35,.257,25,56,.446,.423,25,30,.833,6,25,31,22,5,5,6,13,52,92,.565,18,42,.429,34,50,.680,.663,13,16,.813,12,42,54,34,3,6,11,22
39,39,2024-01-13,,HOU,W,145,113,,51,95,.537,24,47,.511,27,48,.563,.663,19,25,.760,10,40,50,26,7,8,12,21,40,99,.404,7,30,.233,33,69,.478,.439,26,30,.867,15,35,50,20,10,3,13,18
40,40,2024-01-15,@,TOR,W,105,96,,33,82,.402,16,39,.410,17,43,.395,.500,23,25,.920,5,48,53,20,3,7,13,16,38,95,.400,4,32,.125,34,63,.540,.421,16,21,.762,9,43,52,25,6,2,7,21
41,41,2024-01-17,,SAS,W,117,98,,42,90,.467,18,38,.474,24,52,.462,.567,15,19,.789,12,42,54,22,5,6,14,15,39,93,.419,7,34,.206,32,59,.542,.457,13,16,.813,11,30,41,26,5,3,10,15
42,42,2024-01-19,,DEN,L,100,102,,38,89,.427,14,44,.318,24,45,.533,.506,10,14,.714,12,26,38,21,5,2,3,17,42,81,.519,8,31,.258,34,50,.680,.568,10,13,.769,10,37,47,20,0,3,11,13
43,43,2024-01-21,@,HOU,W,116,107,,43,98,.439,17,47,.362,26,51,.510,.526,13,18,.722,16,39,55,31,10,12,16,17,41,94,.436,10,35,.286,31,59,.525,.489,15,22,.682,11,38,49,26,9,3,15,17
44,44,2024-01-22,@,DAL,W,119,110,,41,88,.466,15,46,.326,26,42,.619,.551,22,30,.733,5,39,44,26,7,8,6,20,43,97,.443,14,40,.350,29,57,.509,.515,10,14,.714,10,38,48,24,4,4,10,20
45,45,2024-01-25,@,MIA,W,143,110,,51,80,.638,22,40,.550,29,40,.725,.775,19,20,.950,6,41,47,36,4,5,11,10,42,94,.447,16,42,.381,26,52,.500,.532,10,13,.769,11,20,31,25,7,1,5,12
46,46,2024-01-27,,LAC,L,96,115,,36,100,.360,10,40,.250,26,60,.433,.410,14,16,.875,18,34,52,21,2,9,11,13,45,102,.441,10,40,.250,35,62,.565,.490,15,18,.833,15,43,58,28,8,8,8,20
47,47,2024-01-29,,NOP,W,118,112,,43,85,.506,17,46,.370,26,39,.667,.606,15,20,.750,6,34,40,27,7,5,11,15,46,91,.505,10,35,.286,36,56,.643,.560,10,13,.769,9,31,40,21,7,6,12,14
48,48,2024-01-30,,IND,W,129,124,,47,87,.540,17,36,.472,30,51,.588,.638,18,22,.818,7,33,40,25,6,9,12,16,50,108,.463,12,39,.308,38,69,.551,.519,12,15,.800,19,31,50,33,4,2,8,21
49,49,2024-02-01,,LAL,L,105,114,,41,97,.423,16,48,.333,25,49,.510,.505,7,7,1.000,14,40,54,30,4,12,15,19,38,94,.404,19,36,.528,19,58,.328,.505,19,26,.731,15,37,52,30,11,2,7,8
50,50,2024-02-04,,MEM,W,131,91,,48,99,.485,19,51,.373,29,48,.604,.581,16,18,.889,17,40,57,30,12,4,11,13,35,92,.380,11,38,.289,24,54,.444,.440,10,12,.833,16,30,46,19,5,3,20,15
51,51,2024-02-07,,ATL,W,125,117,,49,93,.527,17,49,.347,32,44,.727,.618,10,11,.909,6,39,45,33,6,9,14,16,43,102,.422,13,41,.317,30,61,.492,.485,18,20,.900,13,36,49,24,8,2,9,13
52,52,2024-02-09,,WAS,W,133,129,,48,92,.522,11,34,.324,37,58,.638,.582,26,28,.929,9,40,49,25,9,5,13,17,45,95,.474,20,47,.426,25,48,.521,.579,19,21,.905,5,34,39,32,8,1,12,25
53,53,2024-02-11,@,MIA,W,110,106,,41,81,.506,16,39,.410,25,42,.595,.605,12,17,.706,6,36,42,27,1,9,11,13,40,97,.412,12,40,.300,28,57,.491,.474,14,15,.933,14,31,45,21,4,2,7,14
54,54,2024-02-13,@,BRK,W,118,110,,43,83,.518,15,37,.405,28,46,.609,.608,17,23,.739,7,32,39,31,6,1,14,24,39,79,.494,15,33,.455,24,46,.522,.589,17,26,.654,7,30,37,28,6,3,12,21
55,55,2024-02-14,,BRK,W,136,86,,52,91,.571,22,45,.489,30,46,.652,.692,10,12,.833,10,41,51,32,6,5,10,13,31,81,.383,10,31,.323,21,50,.420,.444,14,15,.933,6,25,31,27,5,1,12,12
56,56,2024-02-22,@,CHI,W,129,112,,45,83,.542,23,47,.489,22,36,.611,.681,16,21,.762,5,31,36,27,10,11,14,16,44,94,.468,10,28,.357,34,66,.515,.521,14,16,.875,13,32,45,30,6,2,13,17
57,57,2024-02-24,@,NYK,W,116,102,,46,81,.568,15,35,.429,31,46,.674,.660,9,12,.750,11,25,36,27,8,4,7,16,37,82,.451,13,38,.342,24,44,.545,.530,15,16,.938,15,24,39,21,1,3,14,15
58,58,2024-02-27,,PHI,W,117,99,,39,74,.527,5,22,.227,34,52,.654,.561,34,37,.919,9,47,56,21,7,9,14,16,37,94,.394,14,42,.333,23,52,.442,.468,11,12,.917,8,20,28,20,6,5,10,23
59,59,2024-03-01,,DAL,W,138,110,,52,94,.553,21,43,.488,31,51,.608,.665,13,13,1.000,9,38,47,33,4,8,9,15,44,94,.468,9,34,.265,35,60,.583,.516,13,18,.722,10,32,42,20,4,4,8,12
60,60,2024-03-03,,GSW,W,140,88,,53,96,.552,25,49,.510,28,47,.596,.682,9,11,.818,7,44,51,35,10,5,8,19,36,92,.391,7,41,.171,29,51,.569,.429,9,13,.692,12,34,46,24,2,3,17,13
61,61,2024-03-05,@,CLE,L,104,105,,39,93,.419,15,38,.395,24,55,.436,.500,11,12,.917,14,39,53,24,6,9,13,13,39,90,.433,20,42,.476,19,48,.396,.544,7,11,.636,8,34,42,28,11,3,9,10
62,62,2024-03-07,@,DEN,L,109,115,,41,91,.451,11,38,.289,30,53,.566,.511,16,25,.640,13,34,47,24,6,3,12,18,45,90,.500,4,21,.190,41,69,.594,.522,21,22,.955,8,37,45,27,10,4,8,19
63,63,2024-03-09,@,PHO,W,117,107,,46,94,.489,15,39,.385,31,55,.564,.569,10,13,.769,13,30,43,29,7,4,12,12,44,87,.506,9,31,.290,35,56,.625,.557,10,16,.625,10,31,41,21,6,1,15,14
64,64,2024-03-11,@,POR,W,121,99,,49,100,.490,15,40,.375,34,60,.567,.565,8,12,.667,14,31,45,34,7,10,3,11,39,87,.448,10,28,.357,29,59,.492,.506,11,11,1.000,9,29,38,23,3,5,11,11
