Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2024-25,57.0,CLE,NBA,82,64,18,.780,23.0,1,,9,5,4,.556,,Kenny Atkinson
2025-26,58.0,CLE,NBA,82,52,30,.634,11.0,2,,7,4,3,.571,,Kenny Atkinson
2019-20,66.0,CLE,NBA,54.0,14.0,40.0,0.259,-13.0,5.0,,,,,,,John Beilein
2019-20,40.0,CLE,NBA,11,5,6,.455,-0.5,5,,,,,,,J.B. Bickerstaff
2020-21,41.0,CLE,NBA,72,22,50,.306,-14.0,4,,,,,,,J.B. Bickerstaff
2021-22,42.0,CLE,NBA,82,44,38,.537,3.0,3,,,,,,,J.B. Bickerstaff
2022-23,43.0,CLE,NBA,82,51,31,.622,10.0,2,,5,1,4,.200,,J.B. Bickerstaff
2023-24,44.0,CLE,NBA,82,48,34,.585,7.0,2,,12,5,7,.417,,J.B. Bickerstaff
2014-15,55.0,CLE,NBA,82.0,53.0,29.0,0.646,12.0,1.0,,20.0,14.0,6.0,0.7,EC Champions,David Blatt
2015-16,56.0,CLE,NBA,41.0,30.0,11.0,0.732,9.5,1.0,,,,,,,David Blatt
2005-06,35.0,CLE,NBA,82,50,32,.610,9.0,2,,13,7,6,.538,,Mike Brown
2006-07,36.0,CLE,NBA,82,50,32,.610,9.0,2,,20,12,8,.600,EC Champions,Mike Brown
2007-08,37.0,CLE,NBA,82,45,37,.549,4.0,2,,13,7,6,.538,,Mike Brown
2008-09,38.0,CLE,NBA,82,66,16,.805,25.0,1,,14,10,4,.714,,Mike Brown
2009-10,39.0,CLE,NBA,82,61,21,.744,20.0,1,,11,6,5,.545,,Mike Brown
2013-14,43.0,CLE,NBA,82,33,49,.402,-8.0,3,,,,,,,Mike Brown
2018-19,60.0,CLE,NBA,76,19,57,.250,-19.0,5,,,,,,,Larry Drew
2001-02,48.0,CLE,NBA,82,29,53,.354,-12.0,7,,,,,,,John Lucas
2002-03,49.0,CLE,NBA,42,8,34,.190,-13.0,8,,,,,,,John Lucas
2015-16,38.0,CLE,NBA,41,27,14,.659,6.5,1,,21,16,5,.762,NBA Champions,Tyronn Lue
2016-17,39.0,CLE,NBA,82,51,31,.622,10.0,1,,18,13,5,.722,EC Champions,Tyronn Lue
2017-18,40.0,CLE,NBA,82,50,32,.610,9.0,1,,22,12,10,.545,EC Champions,Tyronn Lue
2018-19,41.0,CLE,NBA,6,0,6,.000,-3.0,5,,,,,,,Tyronn Lue
2004-05,69.0,CLE,NBA,18,8,10,.444,-1.0,4,,,,,,,Brendan Malone
2010-11,49.0,CLE,NBA,82,19,63,.232,-22.0,5,,,,,,,Byron Scott
2011-12,50.0,CLE,NBA,66,21,45,.318,-12.0,5,,,,,,,Byron Scott
2012-13,51.0,CLE,NBA,82,24,58,.293,-17.0,5,,,,,,,Byron Scott
2003-04,60.0,CLE,NBA,82,35,47,.427,-6.0,5,,,,,,,Paul Silas
2004-05,61.0,CLE,NBA,64,34,30,.531,2.0,4,,,,,,,Paul Silas
2002-03,38.0,CLE,NBA,40,9,31,.225,-11.0,8,,,,,,,Keith Smart
1999-00,40.0,CLE,NBA,82,32,50,.390,-9.0,6,,,,,,,Randy Wittman
2000-01,41.0,CLE,NBA,82,30,52,.366,-11.0,6,,,,,,,Randy Wittman
