Rk,Executive,Start,End,Notes
1,Nick Mileti,1970,1973-04-24,
2,Bill Fitch,1973-04-24,1979-05-21,
3,Ron Hrovat,1979-07-23,1980-06-13,
4,Don Delaney,1980-06-13,1982-10-15,
5,Harry Weltman,1982-10-15,1986-04-16,
6,Wayne Embry,1986-06-19,1999-06-01,
7,Jim Paxson,1999-06-01,2005-04-21,
8,Danny Ferry,2005-06-27,2010-06-04,
9,Chris Grant,2010-06-04,2014-02-06,
10,David Griffin,2014-02-06,2017-06-19,Appointed Interim GM when Chris Grant was fired; made permanent on 5/12/2014
11,Koby Altman,2017-06-19,present,Appointed Interim GM when David Griffin was fired; made permanent on 7/24/17
