Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G.1,W.1,L.1,W/L%.1,Conf,Champ
1,Richie Adubato,1990,1993,4,264,94,170,0.356,-38.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
2,Quinn Buckner,1994,1994,1,82,13,69,0.159,-28.0,,,,,,,
3,Rick Carlisle,2009,2021,13,1033,555,478,0.537,38.5,9.0,71.0,33.0,38.0,0.465,1.0,1.0
4,Jim Cleamons,1997,1998,2,98,28,70,0.286,-21.0,,,,,,,
5,Gar Heard,1993,1993,1,53,9,44,0.17,-17.5,,,,,,,
6,Avery Johnson,2005,2008,4,264,194,70,0.735,62.0,4.0,47.0,23.0,24.0,0.489,1.0,0.0
7,Jason Kidd,2022,2026,5,410,205,205,0.5,0.0,2.0,40.0,22.0,18.0,0.55,1.0,0.0
8,John MacLeod,1988,1990,3,175,96,79,0.549,8.5,1.0,17.0,10.0,7.0,0.588,0.0,0.0
9,Dick Motta,1981,1996,9,738,329,409,0.446,-40.0,4.0,28.0,11.0,17.0,0.393,0.0,0.0
10,Don Nelson,1998,2005,8,590,339,251,0.575,44.0,4.0,43.0,19.0,24.0,0.442,0.0,0.0
