Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2024-25,43.0,DEN,NBA,3,3,0,1.000,1.5,2,,14,7,7,.500,,David Adelman
2025-26,44.0,DEN,NBA,82,54,28,.659,13.0,2,,6,2,4,.333,,David Adelman
2002-03,50.0,DEN,NBA,82,17,65,.207,-24.0,7,,,,,,,Jeff Bzdelik
2003-04,51.0,DEN,NBA,82,43,39,.524,2.0,6,,5,1,4,.200,,Jeff Bzdelik
2004-05,52.0,DEN,NBA,28,13,15,.464,-1.0,2,,,,,,,Jeff Bzdelik
2004-05,48.0,DEN,NBA,14,4,10,.286,-3.0,2,,,,,,,Michael Cooper
2001-02,46.0,DEN,NBA,56,18,38,.321,-10.0,6,,,,,,,Mike Evans
2014-15,45.0,DEN,NBA,23,10,13,.435,-1.5,4,,,,,,,Melvin Hunt
1999-00,51.0,DEN,NBA,82.0,35.0,47.0,0.427,-6.0,5.0,,,,,,,Dan Issel
2000-01,52.0,DEN,NBA,82.0,40.0,42.0,0.488,-1.0,6.0,,,,,,,Dan Issel
2001-02,53.0,DEN,NBA,26.0,9.0,17.0,0.346,-4.0,6.0,,,,,,,Dan Issel
2004-05,53.0,DEN,NBA,40,32,8,.800,12.0,2,,5,1,4,.200,,George Karl
2005-06,54.0,DEN,NBA,82,44,38,.537,3.0,1,,5,1,4,.200,,George Karl
2006-07,55.0,DEN,NBA,82,45,37,.549,4.0,2,,5,1,4,.200,,George Karl
2007-08,56.0,DEN,NBA,82,50,32,.610,9.0,2,,4,0,4,.000,,George Karl
2008-09,57.0,DEN,NBA,82,54,28,.659,13.0,1,,16,10,6,.625,,George Karl
2009-10,58.0,DEN,NBA,82,53,29,.646,12.0,1,,6,2,4,.333,,George Karl
2010-11,59.0,DEN,NBA,82,50,32,.610,9.0,2,,5,1,4,.200,,George Karl
2011-12,60.0,DEN,NBA,66,38,28,.576,5.0,2,,7,3,4,.429,,George Karl
2012-13,61.0,DEN,NBA,82,57,25,.695,16.0,2,,6,2,4,.333,,George Karl
2015-16,44.0,DEN,NBA,82,33,49,.402,-8.0,4,,,,,,,Michael Malone
2016-17,45.0,DEN,NBA,82,40,42,.488,-1.0,4,,,,,,,Michael Malone
2017-18,46.0,DEN,NBA,82,46,36,.561,5.0,5,,,,,,,Michael Malone
2018-19,47.0,DEN,NBA,82,54,28,.659,13.0,1,,14,7,7,.500,,Michael Malone
2019-20,48.0,DEN,NBA,73,46,27,.630,9.5,1,,19,9,10,.474,,Michael Malone
2020-21,49.0,DEN,NBA,72,47,25,.653,11.0,2,,10,4,6,.400,,Michael Malone
2021-22,50.0,DEN,NBA,82,48,34,.585,7.0,2,,5,1,4,.200,,Michael Malone
2022-23,51.0,DEN,NBA,82,53,29,.646,12.0,1,,20,16,4,.800,NBA Champions,Michael Malone
2023-24,52.0,DEN,NBA,82,57,25,.695,16.0,2,,12,7,5,.583,,Michael Malone
2024-25,53.0,DEN,NBA,79,47,32,.595,7.5,2,,,,,,,Michael Malone
2013-14,47.0,DEN,NBA,82,36,46,.439,-5.0,4,,,,,,,Brian Shaw
2014-15,48.0,DEN,NBA,59,20,39,.339,-9.5,4,,,,,,,Brian Shaw
