Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G.1,W.1,L.1,W/L%.1,Conf,Champ
1,David Adelman,2025,2026,2,85,57,28,.671,14.5,2,20,9,11,.450,0,0
2,Stan Albeck,1971,1971,1,71,27,44,.380,-8.5,,,,,,,
3,Bob Bass,1968,1969,2,156,89,67,.571,11.0,2,12,5,7,.417,0,0
4,Joe Belmont,1970,1971,2,69,45,24,.652,10.5,1,12,5,7,.417,0,0
5,Bernie Bickerstaff,1995,1997,3,127,59,68,.465,-4.5,1,3,0,3,.000,0,0
6,Larry Brown,1975,1979,5,385,251,134,.652,58.5,4,45,21,24,.467,0,0
7,Jeff Bzdelik,2003,2005,3,192,73,119,.380,-23.0,1,5,1,4,.200,0,0
8,Michael Cooper,2005,2005,1,14,4,10,.286,-3.0,,,,,,,
9,Mike D'Antoni,1999,1999,1,50,14,36,.280,-11.0,,,,,,,
10,Mike Evans,2002,2002,1,56,18,38,.321,-10.0,,,,,,,
11,Alex Hannum,1972,1974,3,252,118,134,.468,-8.0,2,12,4,8,.333,0,0
12,Bill Hanzlik,1998,1998,1,82,11,71,.134,-30.0,,,,,,,
13,Melvin Hunt,2015,2015,1,23,10,13,.435,-1.5,,,,,,,
14,Dan Issel,1993,2002,6,388,180,208,.464,-14.0,1,12,6,6,.500,0,0
15,George Karl,2005,2013,9,680,423,257,.622,83.0,9,59,21,38,.356,0,0
16,Gene Littles,1995,1995,1,16,3,13,.188,-5.0,,,,,,,
17,Michael Malone,2016,2025,10,798,471,327,.590,72.0,6,80,44,36,.550,1,1
18,John McLendon,1970,1970,1,28,9,19,.321,-5.0,,,,,,,
19,Doug Moe,1981,1990,10,789,432,357,.548,37.5,9,61,24,37,.393,0,0
20,Dick Motta,1997,1997,1,69,17,52,.246,-17.5,,,,,,,
,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
21,Brian Shaw,2014,2015,2,141,56,85,.397,-14.5,,,,,,,
22,Donnie Walsh,1979,1981,3,142,60,82,.423,-11.0,1,3,1,2,.333,0,0
23,Paul Westhead,1991,1992,2,164,44,120,.268,-38.0,,,,,,,
