Rk,Executive,Start,End,Notes
1,Vince Boryla,1967,1967-06-02,
2,Dick Eicher,1967-06-20,1969,
3,Donald Ringsby,1969,1971-04-08,
4,Alex Hannum,1971-04-08,1974-04-30,
5,Carl Scheer,1974-06-03,1984-05-07,
6,Vince Boryla,1984-05-07,1987-10-27,
7,Pete Babcock,1987-10-27,1990-02-14,
8,Glen Grunwald,1990-02-14,1990-07-11,
9,Bernie Bickerstaff,1990-07-11,1997-02-10,
10,Allan Bristow,1997-02-12,1998-02-04,
11,Mike D'Antoni,1998-02-04,1998-03-25,
12,Dan Issel,1998-03-25,2001-08-09,
13,Kiki Vandeweghe,2001-08-09,2006-05-05,
14,Mark Warkentien,2006-09-07,2010-08-03,
15,Masai Ujiri,2010-08-27,2013-05-31,
16,Tim Connelly,2013-06-17,2022-05-23,
17,Calvin Booth,2022-05-23,2025-04-08,
18,Ben Tenzer,2025-04-14,present,Named Interim GM after Calvin Booth was fired
