Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2024-25,45.0,DET,NBA,82,44,38,.537,3.0,4,,6,2,4,.333,,J.B. Bickerstaff
2025-26,46.0,DET,NBA,82,60,22,.732,19.0,1,,7,4,3,.571,,J.B. Bickerstaff
2003-04,63.0,DET,NBA,82.0,54.0,28.0,0.659,13.0,2.0,,23.0,16.0,7.0,0.696,NBA Champions,Larry Brown
2004-05,64.0,DET,NBA,82.0,54.0,28.0,0.659,13.0,1.0,,25.0,15.0,10.0,0.6,EC Champions,Larry Brown
2001-02,42.0,DET,NBA,82,50,32,.610,9.0,1,,10,4,6,.400,,Rick Carlisle
2002-03,43.0,DET,NBA,82,50,32,.610,9.0,1,,17,8,9,.471,,Rick Carlisle
2018-19,61.0,DET,NBA,82,41,41,.500,0.0,3,,4,0,4,.000,,Dwane Casey
2019-20,62.0,DET,NBA,66,20,46,.303,-13.0,4,,,,,,,Dwane Casey
2020-21,63.0,DET,NBA,72,20,52,.278,-16.0,5,,,,,,,Dwane Casey
2021-22,64.0,DET,NBA,82,23,59,.280,-18.0,5,,,,,,,Dwane Casey
2022-23,65.0,DET,NBA,82,17,65,.207,-24.0,5,,,,,,,Dwane Casey
2013-14,57.0,DET,NBA,50,21,29,.420,-4.0,4,,,,,,,Maurice Cheeks
2008-09,40.0,DET,NBA,82,39,43,.476,-2.0,3,,4,0,4,.000,,Michael Curry
2011-12,41.0,DET,NBA,66,25,41,.379,-8.0,4,,,,,,,Lawrence Frank
2012-13,42.0,DET,NBA,82,29,53,.354,-12.0,4,,,,,,,Lawrence Frank
1999-00,45.0,DET,NBA,58,28,30,.483,-1.0,4,,,,,,,Alvin Gentry
1999-00,51.0,DET,NBA,24,14,10,.583,2.0,4,,3,0,3,.000,,George Irvine
2000-01,52.0,DET,NBA,82,32,50,.390,-9.0,5,,,,,,,George Irvine
2009-10,54.0,DET,NBA,82,27,55,.329,-14.0,5,,,,,,,John Kuester
2010-11,55.0,DET,NBA,82,30,52,.366,-11.0,4,,,,,,,John Kuester
2013-14,49.0,DET,NBA,32,8,24,.250,-8.0,4,,,,,,,John Loyer
2005-06,50.0,DET,NBA,82.0,64.0,18.0,0.78,23.0,1.0,,18.0,10.0,8.0,0.556,,Flip Saunders
2006-07,51.0,DET,NBA,82.0,53.0,29.0,0.646,12.0,1.0,,16.0,10.0,6.0,0.625,,Flip Saunders
2007-08,52.0,DET,NBA,82.0,59.0,23.0,0.72,18.0,1.0,,17.0,10.0,7.0,0.588,,Flip Saunders
2014-15,55.0,DET,NBA,82,32,50,.390,-9.0,5,,,,,,,Stan Van Gundy
2015-16,56.0,DET,NBA,82,44,38,.537,3.0,3,,4,0,4,.000,,Stan Van Gundy
2016-17,57.0,DET,NBA,82,37,45,.451,-4.0,5,,,,,,,Stan Van Gundy
2017-18,58.0,DET,NBA,82,39,43,.476,-2.0,4,,,,,,,Stan Van Gundy
2023-24,52.0,DET,NBA,82,14,68,.171,-27.0,5,,,,,,,Monty Williams
