Rk,Executive,Start,End,Notes
1,Carl Bennett,1948,1954-03-27,
2,Fred Zollner,1954-03-27,1957-02-14,
3,Otto Adams,1957-02-14,1957-04-08,
4,Fred Delano,1957-04-08,1958-05-19,
5,Nick Kerbawy,1958-06-18,1961-01-13,
6,Francis Smith,1961-01-19,1964-11-09,
7,Don Wattrick,1964-11-09,1965-09-28,
8,Edwin Coil,1965-10-05,1975-06-23,
9,Oscar Feldman,1975-06-23,1977-05-25,
10,Bob Kauffman,1977-05-25,1978-07-14,
11,Bill Davidson,1978-07-14,1979-12-11,
12,Jack McCloskey,1979-12-11,1992-06-01,
13,Tom Wilson,1992-06-01,1992-06-23,
14,Billy McKinney,1992-06-23,1995-04-26,
15,Doug Collins,1995-04-26,1998-02-02,
16,Rick Sund,1998-02-02,2000-06-06,
17,Joe Dumars,2000-06-06,2014-04-14,
18,Stan Van Gundy,2014-05-14,2018-05-07,
19,Jeff Bower,2018-05-08,2018-06-01,
20,Ed Stefanski,2018-06-01,2020-06-18,"Hired as Special Advisor when Jeff Bower was fired, reportedly tasked with reshaping the front office and coaching staff"
Rk,Executive,Start,End,Notes
21,Troy Weaver,2020-06-18,2024-05-31,
22,Trajan Langdon,2024-06-01,present,
