Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
1999-00,50.0,GSW,NBA,27,6,21,.222,-7.5,6,,,,,,,P.J. Carlesimo
2000-01,52.0,GSW,NBA,82,17,65,.207,-24.0,7,,,,,,,Dave Cowens
2001-02,53.0,GSW,NBA,23,8,15,.348,-3.5,7,,,,,,,Dave Cowens
2011-12,46.0,GSW,NBA,66.0,23.0,43.0,0.348,-10.0,4.0,,,,,,,Mark Jackson
2012-13,47.0,GSW,NBA,82.0,47.0,35.0,0.573,6.0,2.0,,12.0,6.0,6.0,0.5,,Mark Jackson
2013-14,48.0,GSW,NBA,82.0,51.0,31.0,0.622,10.0,2.0,,7.0,3.0,4.0,0.429,,Mark Jackson
2014-15,49.0,GSW,NBA,82.0,67.0,15.0,0.817,26.0,1.0,,21.0,16.0,5.0,0.762,NBA Champions,Steve Kerr
2015-16,50.0,GSW,NBA,82.0,73.0,9.0,0.89,32.0,1.0,,24.0,15.0,9.0,0.625,WC Champions,Steve Kerr
2016-17,51.0,GSW,NBA,82.0,67.0,15.0,0.817,26.0,1.0,,17.0,16.0,1.0,0.941,NBA Champions,Steve Kerr
2017-18,52.0,GSW,NBA,82.0,58.0,24.0,0.707,17.0,1.0,,21.0,16.0,5.0,0.762,NBA Champions,Steve Kerr
2018-19,53.0,GSW,NBA,82.0,57.0,25.0,0.695,16.0,1.0,,22.0,14.0,8.0,0.636,WC Champions,Steve Kerr
2019-20,54.0,GSW,NBA,65.0,15.0,50.0,0.231,-17.5,5.0,,,,,,,Steve Kerr
2020-21,55.0,GSW,NBA,72.0,39.0,33.0,0.542,3.0,4.0,,,,,,,Steve Kerr
2021-22,56.0,GSW,NBA,82.0,53.0,29.0,0.646,12.0,2.0,,22.0,16.0,6.0,0.727,NBA Champions,Steve Kerr
2022-23,57.0,GSW,NBA,82.0,44.0,38.0,0.537,3.0,4.0,,13.0,6.0,7.0,0.462,,Steve Kerr
2023-24,58.0,GSW,NBA,82.0,46.0,36.0,0.561,5.0,5.0,,,,,,,Steve Kerr
2024-25,59.0,GSW,NBA,82.0,48.0,34.0,0.585,7.0,3.0,,12.0,5.0,7.0,0.417,,Steve Kerr
2025-26,60.0,GSW,NBA,82.0,37.0,45.0,0.451,-4.0,4.0,,,,,,,Steve Kerr
2004-05,57.0,GSW,NBA,82.0,34.0,48.0,0.415,-7.0,5.0,,,,,,,Mike Montgomery
2005-06,58.0,GSW,NBA,82.0,34.0,48.0,0.415,-7.0,5.0,,,,,,,Mike Montgomery
2002-03,38.0,GSW,NBA,82,38,44,.463,-3.0,6,,,,,,,Eric Musselman
2003-04,39.0,GSW,NBA,82,37,45,.451,-4.0,4,,,,,,,Eric Musselman
2006-07,66.0,GSW,NBA,82,42,40,.512,1.0,3,,11,5,6,.455,,Don Nelson
2007-08,67.0,GSW,NBA,82,48,34,.585,7.0,3,,,,,,,Don Nelson
2008-09,68.0,GSW,NBA,82,29,53,.354,-12.0,3,,,,,,,Don Nelson
2009-10,69.0,GSW,NBA,82,26,56,.317,-15.0,4,,,,,,,Don Nelson
2010-11,46.0,GSW,NBA,82,36,46,.439,-5.0,3,,,,,,,Keith Smart
1999-00,49.0,GSW,NBA,55,13,42,.236,-14.5,6,,,,,,,Garry St. Jean
2001-02,49.0,GSW,NBA,59,13,46,.220,-16.5,7,,,,,,,Brian Winters
