Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G.1,W.1,L.1,W/L%.1,Conf,Champ
1,Rick Adelman,1996,1997,2,164,66,98,.402,-16.0,,,,,,,
2,Al Attles,1970,1983,14,1075,557,518,.518,19.5,6,61,31,30,.508,1,1
3,Johnny Bach,1980,1986,4,267,95,172,.356,-38.5,,,,,,,
4,P.J. Carlesimo,1998,2000,3,159,46,113,.289,-33.5,,,,,,,
5,Al Cervi,1959,1959,1,72,32,40,.444,-4.0,,,,,,,
6,Dave Cowens,2001,2002,2,105,25,80,.238,-27.5,,,,,,,
7,Bob Feerick,1963,1963,1,80,31,49,.388,-9.0,,,,,,,
8,Eddie Gottlieb,1947,1955,9,581,263,318,.453,-27.5,6,32,15,17,.469,0,1
9,Ed Gregory,1988,1988,1,18,4,14,.222,-5.0,,,,,,,
10,Alex Hannum,1964,1966,3,240,100,140,.417,-20.0,1,12,5,7,.417,0,0
11,Mark Jackson,2012,2014,3,230,121,109,.526,6.0,2,19,9,10,.474,0,0
12,Neil Johnston,1960,1961,2,154,95,59,.617,18.0,2,12,4,8,.333,0,0
13,George Karl,1987,1988,2,146,58,88,.397,-15.0,1,10,4,6,.400,0,0
14,Steve Kerr,2015,2026,12,957,604,353,.631,125.5,8,152,104,48,.684,6,4
15,Bob Lanier,1995,1995,1,37,12,25,.324,-6.5,,,,,,,
16,George Lee,1969,1970,2,134,63,71,.470,-4.0,1,6,2,4,.333,0,0
17,Frank McGuire,1962,1962,1,80,49,31,.613,9.0,1,12,6,6,.500,0,0
18,Mike Montgomery,2005,2006,2,164,68,96,.415,-14.0,,,,,,,
19,Eric Musselman,2003,2004,2,164,75,89,.457,-7.0,,,,,,,
20,Don Nelson,1989,2010,11,865,422,443,.488,-10.5,5,35,14,21,.400,0,0
,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
21,George Senesky,1956,1958,3,216,119,97,.551,11.0,3,20,10,10,.500,0,1
22,Bill Sharman,1967,1968,2,163,87,76,.534,5.5,2,25,13,12,.520,0,0
23,Keith Smart,2011,2011,1,82,36,46,.439,-5.0,,,,,,,
24,Garry St. Jean,2000,2000,1,55,13,42,.236,-14.5,,,,,,,
25,Brian Winters,2002,2002,1,59,13,46,.220,-16.5,,,,,,,
