Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2012-13,68.0,LAL,NBA,5,4,1,.800,1.5,3,,,,,,,Bernie Bickerstaff
2011-12,41.0,LAL,NBA,66,41,25,.621,8.0,1,,12,5,7,.417,,Mike Brown
2012-13,42.0,LAL,NBA,5,1,4,.200,-1.5,3,,,,,,,Mike Brown
2012-13,61.0,LAL,NBA,72,40,32,.556,4.0,3,,4,0,4,.000,,Mike D'Antoni
2013-14,62.0,LAL,NBA,82,27,55,.329,-14.0,5,,,,,,,Mike D'Antoni
2022-23,49.0,LAL,NBA,82,43,39,.524,2.0,5,,16,8,8,.500,,Darvin Ham
2023-24,50.0,LAL,NBA,82,47,35,.573,6.0,3,,5,1,4,.200,,Darvin Ham
2004-05,57.0,LAL,NBA,39,10,29,.256,-9.5,4,,,,,,,Frank Hamblen
1999-00,54.0,LAL,NBA,82,67,15,.817,26.0,1,,23,15,8,.652,NBA Champions,Phil Jackson
2000-01,55.0,LAL,NBA,82,56,26,.683,15.0,1,,16,15,1,.938,NBA Champions,Phil Jackson
2001-02,56.0,LAL,NBA,82,58,24,.707,17.0,2,,19,15,4,.789,NBA Champions,Phil Jackson
2002-03,57.0,LAL,NBA,82,50,32,.610,9.0,2,,12,6,6,.500,,Phil Jackson
2003-04,58.0,LAL,NBA,82,56,26,.683,15.0,1,,22,13,9,.591,WC Champions,Phil Jackson
2005-06,60.0,LAL,NBA,82,45,37,.549,4.0,3,,7,3,4,.429,,Phil Jackson
2006-07,61.0,LAL,NBA,82,42,40,.512,1.0,2,,5,1,4,.200,,Phil Jackson
2007-08,62.0,LAL,NBA,82,57,25,.695,16.0,1,,21,14,7,.667,WC Champions,Phil Jackson
2008-09,63.0,LAL,NBA,82,65,17,.793,24.0,1,,23,16,7,.696,NBA Champions,Phil Jackson
2009-10,64.0,LAL,NBA,82,57,25,.695,16.0,1,,23,16,7,.696,NBA Champions,Phil Jackson
2010-11,65.0,LAL,NBA,82,57,25,.695,16.0,1,,10,4,6,.400,,Phil Jackson
2024-25,40.0,LAL,NBA,82.0,50.0,32.0,0.61,9.0,1.0,,5.0,1.0,4.0,0.2,,JJ Redick
2025-26,41.0,LAL,NBA,82.0,53.0,29.0,0.646,12.0,1.0,,6.0,4.0,2.0,0.667,,JJ Redick
2014-15,53.0,LAL,NBA,82,21,61,.256,-20.0,5,,,,,,,Byron Scott
2015-16,54.0,LAL,NBA,82,17,65,.207,-24.0,5,,,,,,,Byron Scott
2004-05,56.0,LAL,NBA,43,24,19,.558,2.5,4,,,,,,,Rudy Tomjanovich
2019-20,46.0,LAL,NBA,71,52,19,.732,16.5,1,,21,16,5,.762,NBA Champions,Frank Vogel
2020-21,47.0,LAL,NBA,72,42,30,.583,6.0,3,,6,2,4,.333,,Frank Vogel
2021-22,48.0,LAL,NBA,82,33,49,.402,-8.0,4,,,,,,,Frank Vogel
2016-17,36.0,LAL,NBA,82,26,56,.317,-15.0,4,,,,,,,Luke Walton
2017-18,37.0,LAL,NBA,82,35,47,.427,-6.0,3,,,,,,,Luke Walton
2018-19,38.0,LAL,NBA,82,37,45,.451,-4.0,4,,,,,,,Luke Walton
