Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
1999-00,54.0,MIA,NBA,82,52,30,.634,11.0,1,,10,6,4,.600,,Pat Riley
2000-01,55.0,MIA,NBA,82,50,32,.610,9.0,2,,3,0,3,.000,,Pat Riley
2001-02,56.0,MIA,NBA,82,36,46,.439,-5.0,6,,,,,,,Pat Riley
2002-03,57.0,MIA,NBA,82,25,57,.305,-16.0,7,,,,,,,Pat Riley
2005-06,60.0,MIA,NBA,61,41,20,.672,10.5,1,,23,16,7,.696,NBA Champions,Pat Riley
2006-07,61.0,MIA,NBA,82,44,38,.537,3.0,1,,4,0,4,.000,,Pat Riley
2007-08,62.0,MIA,NBA,82,15,67,.183,-26.0,5,,,,,,,Pat Riley
2008-09,38.0,MIA,NBA,82,43,39,.524,2.0,3,,7,3,4,.429,,Erik Spoelstra
2009-10,39.0,MIA,NBA,82,47,35,.573,6.0,3,,5,1,4,.200,,Erik Spoelstra
2010-11,40.0,MIA,NBA,82,58,24,.707,17.0,1,,21,14,7,.667,EC Champions,Erik Spoelstra
2011-12,41.0,MIA,NBA,66,46,20,.697,13.0,1,,23,16,7,.696,NBA Champions,Erik Spoelstra
2012-13,42.0,MIA,NBA,82,66,16,.805,25.0,1,,23,16,7,.696,NBA Champions,Erik Spoelstra
2013-14,43.0,MIA,NBA,82,54,28,.659,13.0,1,,20,13,7,.650,EC Champions,Erik Spoelstra
2014-15,44.0,MIA,NBA,82,37,45,.451,-4.0,3,,,,,,,Erik Spoelstra
2015-16,45.0,MIA,NBA,82,48,34,.585,7.0,1,,14,7,7,.500,,Erik Spoelstra
2016-17,46.0,MIA,NBA,82,41,41,.500,0.0,3,,,,,,,Erik Spoelstra
2017-18,47.0,MIA,NBA,82,44,38,.537,3.0,1,,5,1,4,.200,,Erik Spoelstra
2018-19,48.0,MIA,NBA,82,39,43,.476,-2.0,3,,,,,,,Erik Spoelstra
2019-20,49.0,MIA,NBA,73,44,29,.603,7.5,1,,21,14,7,.667,EC Champions,Erik Spoelstra
2020-21,50.0,MIA,NBA,72,40,32,.556,4.0,2,,4,0,4,.000,,Erik Spoelstra
2021-22,51.0,MIA,NBA,82,53,29,.646,12.0,1,,18,11,7,.611,,Erik Spoelstra
2022-23,52.0,MIA,NBA,82,44,38,.537,3.0,1,,23,13,10,.565,EC Champions,Erik Spoelstra
2023-24,53.0,MIA,NBA,82,46,36,.561,5.0,2,,5,1,4,.200,,Erik Spoelstra
2024-25,54.0,MIA,NBA,82,37,45,.451,-4.0,3,,4,0,4,.000,,Erik Spoelstra
2025-26,55.0,MIA,NBA,82,43,39,.524,2.0,4,,,,,,,Erik Spoelstra
2003-04,44.0,MIA,NBA,82,42,40,.512,1.0,2,,13,6,7,.462,,Stan Van Gundy
2004-05,45.0,MIA,NBA,82,59,23,.720,18.0,1,,15,11,4,.733,,Stan Van Gundy
2005-06,46.0,MIA,NBA,21,11,10,.524,0.5,1,,,,,,,Stan Van Gundy
