Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2012-13,57.0,MIL,NBA,50,22,28,.440,-3.0,3,,4,0,4,.000,,Jim Boylan
2018-19,49.0,MIL,NBA,82,60,22,.732,19.0,1,,15,10,5,.667,,Mike Budenholzer
2019-20,50.0,MIL,NBA,73,56,17,.767,19.5,1,,10,5,5,.500,,Mike Budenholzer
2020-21,51.0,MIL,NBA,72,46,26,.639,10.0,1,,23,16,7,.696,NBA Champions,Mike Budenholzer
2021-22,52.0,MIL,NBA,82,51,31,.622,10.0,1,,12,7,5,.583,,Mike Budenholzer
2022-23,53.0,MIL,NBA,82,58,24,.707,17.0,1,,5,1,4,.200,,Mike Budenholzer
2013-14,55.0,MIL,NBA,82,15,67,.183,-26.0,5,,,,,,,Larry Drew
2023-24,49.0,MIL,NBA,43,30,13,.698,8.5,1,,,,,,,Adrian Griffin
1999-00,48.0,MIL,NBA,82,42,40,.512,1.0,5,,5,2,3,.400,,George Karl
2000-01,49.0,MIL,NBA,82,52,30,.634,11.0,1,,18,10,8,.556,,George Karl
2001-02,50.0,MIL,NBA,82,41,41,.500,0.0,5,,,,,,,George Karl
2002-03,51.0,MIL,NBA,82,42,40,.512,1.0,4,,6,2,4,.333,,George Karl
2014-15,41.0,MIL,NBA,82,41,41,.500,0.0,3,,6,2,4,.333,,Jason Kidd
2015-16,42.0,MIL,NBA,82,33,49,.402,-8.0,5,,,,,,,Jason Kidd
2016-17,43.0,MIL,NBA,82,42,40,.512,1.0,2,,6,2,4,.333,,Jason Kidd
2017-18,44.0,MIL,NBA,45,23,22,.511,0.5,3,,,,,,,Jason Kidd
2006-07,42.0,MIL,NBA,18,5,13,.278,-4.0,5,,,,,,,Larry Krystkowiak
2007-08,43.0,MIL,NBA,82,26,56,.317,-15.0,5,,,,,,,Larry Krystkowiak
2003-04,40.0,MIL,NBA,82,41,41,.500,0.0,4,,5,1,4,.200,,Terry Porter
2004-05,41.0,MIL,NBA,82,30,52,.366,-11.0,5,,,,,,,Terry Porter
2017-18,48.0,MIL,NBA,37,21,16,.568,2.5,3,,7,3,4,.429,,Joe Prunty
2023-24,54.0,MIL,NBA,3,2,1,.667,0.5,1,,,,,,,Joe Prunty
2023-24,62.0,MIL,NBA,36.0,17.0,19.0,0.472,-1.0,1.0,,6.0,2.0,4.0,0.333,,Doc Rivers
2024-25,63.0,MIL,NBA,82.0,48.0,34.0,0.585,7.0,3.0,,5.0,1.0,4.0,0.2,,Doc Rivers
2025-26,64.0,MIL,NBA,82.0,32.0,50.0,0.39,-9.0,3.0,,,,,,,Doc Rivers
2008-09,44.0,MIL,NBA,82,34,48,.415,-7.0,5,,,,,,,Scott Skiles
2009-10,45.0,MIL,NBA,82,46,36,.561,5.0,2,,7,3,4,.429,,Scott Skiles
2010-11,46.0,MIL,NBA,82,35,47,.427,-6.0,3,,,,,,,Scott Skiles
2011-12,47.0,MIL,NBA,66,31,35,.470,-2.0,3,,,,,,,Scott Skiles
2012-13,48.0,MIL,NBA,32,16,16,.500,0.0,3,,,,,,,Scott Skiles
2005-06,48.0,MIL,NBA,82,40,42,.488,-1.0,5,,5,1,4,.200,,Terry Stotts
2006-07,49.0,MIL,NBA,64,23,41,.359,-9.0,5,,,,,,,Terry Stotts
