Rk,Executive,Start,End,Notes
1,John Erickson,1968,1970-05-19,
2,Ray Patterson,1970-05-19,1972-02-16,
3,Wayne Embry,1972-03-06,1977-04-15,
4,Don Nelson,1977-04-15,1987-05-27,
5,Del Harris,1987-06-04,1992-04-07,
6,Mike Dunleavy,1992-05-12,1997-04-26,
7,Bob Weinhauer,1997-04-26,1999-08-10,
8,Ernie Grunfeld,1999-08-13,2003-06-29,
9,Larry Harris,2003-06-29,2008-03-19,
10,John Hammond,2008-04-11,2017-05-23,
11,Justin Zanik,2017-05-23,2017-06-16,Appointed Interim GM when Hammond left for Orlando
12,Jon Horst,2017-06-16,present,
