Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
2008-09,43.0,OKC,NBA,69,22,47,.319,-12.5,5,,,,,,,Scott Brooks
2009-10,44.0,OKC,NBA,82,50,32,.610,9.0,4,,6,2,4,.333,,Scott Brooks
2010-11,45.0,OKC,NBA,82,55,27,.671,14.0,1,,17,9,8,.529,,Scott Brooks
2011-12,46.0,OKC,NBA,66,47,19,.712,14.0,1,,20,13,7,.650,WC Champions,Scott Brooks
2012-13,47.0,OKC,NBA,82,60,22,.732,19.0,1,,11,5,6,.455,,Scott Brooks
2013-14,48.0,OKC,NBA,82,59,23,.720,18.0,1,,19,10,9,.526,,Scott Brooks
2014-15,49.0,OKC,NBA,82,45,37,.549,4.0,2,,,,,,,Scott Brooks
2008-09,59.0,OKC,NBA,13,1,12,.077,-5.5,5,,,,,,,P.J. Carlesimo
2020-21,35.0,OKC,NBA,72,22,50,.306,-14.0,5,,,,,,,Mark Daigneault
2021-22,36.0,OKC,NBA,82,24,58,.293,-17.0,5,,,,,,,Mark Daigneault
2022-23,37.0,OKC,NBA,82,40,42,.488,-1.0,3,,,,,,,Mark Daigneault
2023-24,38.0,OKC,NBA,82,57,25,.695,16.0,1,,10,6,4,.600,,Mark Daigneault
2024-25,39.0,OKC,NBA,82,68,14,.829,27.0,1,,23,16,7,.696,NBA Champions,Mark Daigneault
2025-26,40.0,OKC,NBA,82,64,18,.780,23.0,1,,4,4,0,1.000,,Mark Daigneault
2015-16,50.0,OKC,NBA,82.0,55.0,27.0,0.671,14.0,1.0,,18.0,11.0,7.0,0.611,,Billy Donovan
2016-17,51.0,OKC,NBA,82.0,47.0,35.0,0.573,6.0,2.0,,5.0,1.0,4.0,0.2,,Billy Donovan
2017-18,52.0,OKC,NBA,82.0,48.0,34.0,0.585,7.0,2.0,,6.0,2.0,4.0,0.333,,Billy Donovan
2018-19,53.0,OKC,NBA,82.0,49.0,33.0,0.598,8.0,4.0,,5.0,1.0,4.0,0.2,,Billy Donovan
2019-20,54.0,OKC,NBA,72.0,44.0,28.0,0.611,8.0,2.0,,7.0,3.0,4.0,0.429,,Billy Donovan
