Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
1999-00,53.0,SAC,NBA,82,44,38,.537,3.0,5,,5,2,3,.400,,Rick Adelman
2000-01,54.0,SAC,NBA,82,55,27,.671,14.0,2,,8,3,5,.375,,Rick Adelman
2001-02,55.0,SAC,NBA,82,61,21,.744,20.0,1,,16,10,6,.625,,Rick Adelman
2002-03,56.0,SAC,NBA,82,59,23,.720,18.0,1,,12,7,5,.583,,Rick Adelman
2003-04,57.0,SAC,NBA,82,55,27,.671,14.0,2,,12,7,5,.583,,Rick Adelman
2004-05,58.0,SAC,NBA,82,50,32,.610,9.0,2,,5,1,4,.200,,Rick Adelman
2005-06,59.0,SAC,NBA,82,44,38,.537,3.0,4,,6,2,4,.333,,Rick Adelman
2022-23,52.0,SAC,NBA,82,48,34,.585,7.0,1,,7,3,4,.429,,Mike Brown
2023-24,53.0,SAC,NBA,82,46,36,.561,5.0,4,,,,,,,Mike Brown
2024-25,54.0,SAC,NBA,31,13,18,.419,-2.5,4,,,,,,,Mike Brown
2024-25,54.0,SAC,NBA,51,27,24,.529,1.5,4,,,,,,,Doug Christie
2025-26,55.0,SAC,NBA,82,22,60,.268,-19.0,5,,,,,,,Doug Christie
2014-15,52.0,SAC,NBA,28,7,21,.250,-7.0,4,,,,,,,Tyrone Corbin
2021-22,67.0,SAC,NBA,65,24,41,.369,-8.5,5,,,,,,,Alvin Gentry
2016-17,42.0,SAC,NBA,82,32,50,.390,-9.0,3,,,,,,,Dave Joerger
2017-18,43.0,SAC,NBA,82,27,55,.329,-14.0,4,,,,,,,Dave Joerger
2018-19,44.0,SAC,NBA,82,39,43,.476,-2.0,3,,,,,,,Dave Joerger
2014-15,63.0,SAC,NBA,30,11,19,.367,-4.0,4,,,,,,,George Karl
2015-16,64.0,SAC,NBA,82,33,49,.402,-8.0,3,,,,,,,George Karl
2013-14,42.0,SAC,NBA,82,28,54,.341,-13.0,4,,,,,,,Michael Malone
2014-15,43.0,SAC,NBA,24,11,13,.458,-1.0,4,,,,,,,Michael Malone
2006-07,42.0,SAC,NBA,82,33,49,.402,-8.0,5,,,,,,,Eric Musselman
2008-09,50.0,SAC,NBA,58,11,47,.190,-18.0,5,,,,,,,Kenny Natt
2011-12,47.0,SAC,NBA,59,20,39,.339,-9.5,5,,,,,,,Keith Smart
2012-13,48.0,SAC,NBA,82,28,54,.341,-13.0,4,,,,,,,Keith Smart
2007-08,50.0,SAC,NBA,82,38,44,.463,-3.0,4,,,,,,,Reggie Theus
2008-09,51.0,SAC,NBA,24,6,18,.250,-6.0,5,,,,,,,Reggie Theus
2019-20,39.0,SAC,NBA,72,31,41,.431,-5.0,4,,,,,,,Luke Walton
2020-21,40.0,SAC,NBA,72,31,41,.431,-5.0,5,,,,,,,Luke Walton
2021-22,41.0,SAC,NBA,17,6,11,.353,-2.5,5,,,,,,,Luke Walton
2009-10,59.0,SAC,NBA,82,25,57,.305,-16.0,5,,,,,,,Paul Westphal
2010-11,60.0,SAC,NBA,82,24,58,.293,-17.0,5,,,,,,,Paul Westphal
2011-12,61.0,SAC,NBA,7,2,5,.286,-1.5,5,,,,,,,Paul Westphal
