Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes,Coach
1999-00,41.0,TOR,NBA,82,45,37,.549,4.0,3,,3,0,3,.000,,Butch Carter
2011-12,54.0,TOR,NBA,66,23,43,.348,-10.0,4,,,,,,,Dwane Casey
2012-13,55.0,TOR,NBA,82,34,48,.415,-7.0,5,,,,,,,Dwane Casey
2013-14,56.0,TOR,NBA,82,48,34,.585,7.0,1,,7,3,4,.429,,Dwane Casey
2014-15,57.0,TOR,NBA,82,49,33,.598,8.0,1,,4,0,4,.000,,Dwane Casey
2015-16,58.0,TOR,NBA,82,56,26,.683,15.0,1,,20,10,10,.500,,Dwane Casey
2016-17,59.0,TOR,NBA,82,51,31,.622,10.0,2,,10,4,6,.400,,Dwane Casey
2017-18,60.0,TOR,NBA,82,59,23,.720,18.0,1,,10,4,6,.400,,Dwane Casey
2004-05,41.0,TOR,NBA,82,33,49,.402,-8.0,4,,,,,,,Sam Mitchell
2005-06,42.0,TOR,NBA,82,27,55,.329,-14.0,4,,,,,,,Sam Mitchell
2006-07,43.0,TOR,NBA,82,47,35,.573,6.0,1,,6,2,4,.333,,Sam Mitchell
2007-08,44.0,TOR,NBA,82,41,41,.500,0.0,2,,5,1,4,.200,,Sam Mitchell
2008-09,45.0,TOR,NBA,17,8,9,.471,-0.5,4,,,,,,,Sam Mitchell
2018-19,51.0,TOR,NBA,82,58,24,.707,17.0,1,,24,16,8,.667,NBA Champions,Nick Nurse
2019-20,52.0,TOR,NBA,72,53,19,.736,17.0,1,,11,7,4,.636,,Nick Nurse
2020-21,53.0,TOR,NBA,72,27,45,.375,-9.0,5,,,,,,,Nick Nurse
2021-22,54.0,TOR,NBA,82,48,34,.585,7.0,3,,6,2,4,.333,,Nick Nurse
2022-23,55.0,TOR,NBA,82,41,41,.500,0.0,5,,,,,,,Nick Nurse
2003-04,47.0,TOR,NBA,82,33,49,.402,-8.0,6,,,,,,,Kevin O'Neill
2023-24,44.0,TOR,NBA,82,25,57,.305,-16.0,5,,,,,,,Darko Rajakovic
2024-25,45.0,TOR,NBA,82,30,52,.366,-11.0,3,,,,,,,Darko Rajakovic
2025-26,46.0,TOR,NBA,82,46,36,.561,5.0,3,,7,3,4,.429,,Darko Rajakovic
2008-09,50.0,TOR,NBA,65,25,40,.385,-7.5,4,,,,,,,Jay Triano
2009-10,51.0,TOR,NBA,82,40,42,.488,-1.0,2,,,,,,,Jay Triano
2010-11,52.0,TOR,NBA,82,22,60,.268,-19.0,5,,,,,,,Jay Triano
2000-01,63.0,TOR,NBA,82.0,47.0,35.0,0.573,6.0,2.0,,12.0,6.0,6.0,0.5,,Lenny Wilkens
2001-02,64.0,TOR,NBA,82.0,42.0,40.0,0.512,1.0,3.0,,5.0,2.0,3.0,0.4,,Lenny Wilkens
2002-03,65.0,TOR,NBA,82.0,24.0,58.0,0.293,-17.0,7.0,,,,,,,Lenny Wilkens
