Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP
2025,NBA,1,9,Collin Murray-Boyles,South Carolina,57,1246,484,285,106,.579,.340,.657,21.9,8.5,5.0,1.9,4.0,.154,1.0,1.0
2025,NBA,2,39,Alijah Martin,Florida,23,146,51,21,12,.320,.190,.789,6.3,2.2,0.9,0.5,0.0,.015,-4.3,-0.1
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2024,NBA,1,19,Ja'Kobe Walter,Baylor,124,2577,990,345,167,.425,.385,.792,20.8,8.0,2.8,1.3,4.9,.092,-1.4,0.4
2024,NBA,2,31,Jonathan Mogbo,San Francisco,103,1535,450,379,171,.455,.239,.719,14.9,4.4,3.7,1.7,2.5,.079,-1.7,0.1
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,13,Gradey Dick,Kansas,190,3922,1742,472,217,.417,.343,.864,20.6,9.2,2.5,1.1,3.1,.038,-4.0,-2.0
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2022,NBA,2,33,Christian Koloko,Arizona,122,1501,345,344,65,.493,.080,.648,12.3,2.8,2.8,0.5,2.9,.094,-3.6,-0.6
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2021,NBA,1,4,Scottie Barnes,Florida State,356,12204,6204,2665,1842,.475,.301,.773,34.3,17.4,7.5,5.2,27.2,.107,2.3,13.1
2021,NBA,2,46,Dalano Banton,Nebraska,222,3204,1475,487,433,.401,.303,.732,14.4,6.6,2.2,2.0,2.0,.030,-1.5,0.4
2021,NBA,2,47,David Johnson,Louisville,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-0.495,-27.7,0.0
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2020,NBA,1,29,Malachi Flynn,San Diego State,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5
2020,NBA,2,59,Jalen Harris,Nevada,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2019,NBA,2,59,Dewan Hernandez,Miami (FL),6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2017,NBA,1,23,OG Anunoby,Indiana,559,17078,7451,2495,976,.476,.377,.774,30.6,13.3,4.5,1.7,37.6,.106,0.4,10.5
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2016,NBA,1,9,Jakob PÃ¶ltl,Utah,641,14469,5804,4476,1176,.636,.429,.559,22.6,9.1,7.0,1.8,48.5,.161,1.3,11.9
2016,NBA,1,27,Pascal Siakam,New Mexico State,691,21694,12810,4594,2497,.497,.342,.754,31.4,18.5,6.6,3.6,58.1,.129,1.8,21.0
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2015,NBA,1,20,Delon Wright,Utah,548,11175,3656,1650,1636,.447,.348,.799,20.4,6.7,3.0,3.0,28.9,.124,1.9,11.1
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2014,NBA,1,20,Bruno Caboclo,,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
2014,NBA,2,37,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,
2014,NBA,2,59,Xavier Thames (↳BRK),San Diego State,,,,,,,,,,,,,,,,
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2012,NBA,1,8,Terrence Ross,Washington,733,17956,8047,2061,936,.418,.362,.837,24.5,11.0,2.8,1.3,25.0,.067,-1.0,4.5
2012,NBA,2,37,Quincy Acy,Baylor,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1
2012,NBA,2,56,Tomislav ZubÄiÄ,,,,,,,,,,,,,,,,,
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2011,NBA,1,5,Jonas ValanÄiÅ«nas,,1002,24429,12846,9052,1379,.561,.340,.793,24.4,12.8,9.0,1.4,87.6,.172,0.9,18.2
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2010,NBA,1,13,Ed Davis,UNC,722,13756,4291,4616,539,.567,.000,.583,19.1,5.9,6.4,0.7,43.3,.151,-0.2,6.2
Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2009,NBA,1,9,DeMar DeRozan,USC,1264,43634,26711,5434,5185,.471,.302,.843,34.5,21.1,4.3,4.1,114.1,.126,0.8,30.6
