team,executive,draft_value_add,picks,playoff_appearances,finals_appearances,championships,tenure_start,tenure_end
OKC,Sam Presti,301.35,42,12,2,1,2007-06-07,2026-05-05
CLE,Jim Paxson,185.9,9,0,0,0,2000-01-01,2005-04-21
DEN,Tim Connelly,155.65,17,4,0,0,2013-06-17,2022-05-23
LAL,Mitch Kupchak,107.65,27,12,6,4,2000-08-07,2017-02-21
SAS,R.C. Buford,99.95,23,17,5,4,2002-07-01,2019-07-23
DET,Joe Dumars,95.35,29,8,2,1,2000-06-06,2014-04-14
MIL,John Hammond,94.65,22,4,0,0,2008-04-11,2017-05-23
SAC,Geoff Petrie,93.55,22,7,0,0,2000-01-01,2013-06-17
GSW,Larry Riley,84.65,4,0,0,0,2009-05-11,2012-04-24
MIA,Randy Pfund,77.9,14,6,1,1,2000-01-01,2008-09-29
BOS,Danny Ainge,58.95,48,15,2,1,2003-05-09,2021-06-02
TOR,Masai Ujiri,49.85,17,8,1,1,2013-05-31,2025-06-27
TOR,Bryan Colangelo,49.0,8,2,0,0,2006-02-28,2013-05-31
SAS,Gregg Popovich,42.0,4,3,0,0,2000-01-01,2002-07-01
GSW,Garry St. Jean,41.1,7,0,0,0,2000-01-01,2004-04-22
DAL,Donn Nelson,37.6,18,13,2,1,2005-03-19,2021-06-16
MIA,Pat Riley,34.6,17,14,6,2,2008-09-29,2026-05-05
TOR,Glen Grunwald,34.15,4,3,0,0,2000-01-01,2004-04-01
CLE,Chris Grant,30.7,11,0,0,0,2010-06-04,2014-02-06
GSW,Bob Myers,29.75,17,9,6,4,2012-04-24,2023-05-30
SAC,Vlade Divac,27.5,13,0,0,0,2015-03-03,2020-08-14
CLE,Danny Ferry,21.2,5,5,1,0,2005-06-27,2010-06-04
BOS,Chris Wallace,20.8,4,2,0,0,2001-01-08,2003-05-09
DEN,Kiki Vandeweghe,20.65,7,3,0,0,2001-08-09,2006-05-05
MIL,Ernie Grunfeld,18.05,9,3,0,0,2000-01-01,2003-06-29
GSW,Chris Mullin,14.85,10,1,0,0,2004-04-22,2009-05-11
MIL,Larry Harris,12.8,5,2,0,0,2003-06-29,2008-03-19
DEN,Masai Ujiri,10.55,3,3,0,0,2010-08-27,2013-05-31
DET,Stan Van Gundy,9.3,6,1,0,0,2014-05-14,2018-05-07
CLE,David Griffin,8.9,3,3,3,1,2014-02-06,2017-06-19
LAL,Magic Johnson,7.15,4,0,0,0,2017-02-21,2019-04-09
DAL,Don Nelson,4.6,5,4,0,0,2000-01-01,2005-03-19
OKC,Rick Sund,4.15,12,2,0,0,2001-06-01,2007-04-24
GSW,Mike Dunleavy,4.1,3,1,0,0,2023-06-16,2026-05-05
MIL,Jon Horst,1.2,11,8,1,1,2017-06-16,2026-05-05
DEN,Calvin Booth,0.35,3,2,1,1,2022-05-23,2025-04-08
SAC,Scott Perry,0.0,1,0,0,0,2025-04-21,2026-05-05
BOS,Brad Stevens,-0.55,6,4,2,1,2021-06-02,2026-05-05
DET,Ed Stefanski,-1.2,3,1,0,0,2018-06-01,2020-06-18
DEN,Dan Issel,-1.5,2,0,0,0,2000-01-01,2001-08-09
OKC,Wally Walker,-1.95,2,1,0,0,2000-01-01,2001-06-01
BOS,Rick Pitino,-3.5,1,0,0,0,2000-01-01,2001-01-08
LAL,Rob Pelinka,-3.6,8,5,1,1,2019-04-09,2026-05-05
LAL,Jerry West,-4.0,1,1,1,1,2000-01-01,2000-08-07
DET,Trajan Langdon,-4.5,3,1,0,0,2024-06-01,2026-05-05
TOR,Rob Babcock,-6.65,5,0,0,0,2004-06-07,2006-01-26
DAL,Nico Harrison,-7.2,4,2,1,0,2021-06-28,2025-11-11
SAC,Monte McNair,-7.35,9,1,0,0,2020-09-17,2025-04-17
SAS,Brian Wright,-8.4,18,0,0,0,2019-07-23,2026-05-05
SAC,Pete D'Alessandro,-9.85,3,0,0,0,2013-06-17,2015-03-03
CLE,Koby Altman,-16.25,11,4,1,0,2017-06-19,2026-05-05
DET,Troy Weaver,-17.25,7,0,0,0,2020-06-18,2024-05-31
